agent PreviousPosition:None, CurrentPosition:AD --> g = 0, h = 4798, f = 4798, action: None
agent PreviousPosition:A, CurrentPosition:Q --> g = 3231, h = 1198, f = 4429, action: ('moveAndDrop', 'Q')
agent PreviousPosition:A, CurrentPosition:S --> g = 3203, h = 1246, f = 4449, action: ('moveAndDrop', 'S')
agent PreviousPosition:A, CurrentPosition:L --> g = 3301, h = 1150, f = 4451, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:V --> g = 3253, h = 1198, f = 4451, action: ('moveAndDrop', 'V')
agent PreviousPosition:Q, CurrentPosition:H --> g = 3253, h = 1198, f = 4451, action: ('moveAndDrop', 'H')
agent PreviousPosition:Q, CurrentPosition:S --> g = 3049, h = 1402, f = 4451, action: ('moveAndDrop', 'S')
agent PreviousPosition:U, CurrentPosition:U --> g = 2589, h = 1863, f = 4452, action: ('take', <package.Package instance at 0x8265efc8>)
agent PreviousPosition:U, CurrentPosition:I --> g = 2649, h = 1803, f = 4452, action: ('moveAndDrop', 'I')
agent PreviousPosition:L, CurrentPosition:L --> g = 2714, h = 1738, f = 4452, action: ('take', <package.Package instance at 0x41e22e18>)
agent PreviousPosition:L, CurrentPosition:U --> g = 2805, h = 1647, f = 4452, action: ('moveAndDrop', 'U')
agent PreviousPosition:I, CurrentPosition:S --> g = 3609, h = 843, f = 4452, action: ('moveAndDrop', 'S')
agent PreviousPosition:I, CurrentPosition:Q --> g = 3609, h = 843, f = 4452, action: ('moveAndDrop', 'Q')
agent PreviousPosition:I, CurrentPosition:C --> g = 3609, h = 843, f = 4452, action: ('moveAndDrop', 'C')
agent PreviousPosition:Q, CurrentPosition:S --> g = 2066, h = 2386, f = 4452, action: ('moveAndDrop', 'S')
agent PreviousPosition:L, CurrentPosition:AD --> g = 3075, h = 1378, f = 4453, action: ('moveAndDrop', 'AD')
agent PreviousPosition:A, CurrentPosition:S --> g = 2487, h = 1966, f = 4453, action: ('moveAndDrop', 'S')
agent PreviousPosition:A, CurrentPosition:Q --> g = 2511, h = 1942, f = 4453, action: ('moveAndDrop', 'Q')
agent PreviousPosition:A, CurrentPosition:L --> g = 2571, h = 1882, f = 4453, action: ('moveAndDrop', 'L')
agent PreviousPosition:S, CurrentPosition:S --> g = 2068, h = 2386, f = 4454, action: ('take', <package.Package instance at 0x220ee290>)
agent PreviousPosition:U, CurrentPosition:U --> g = 2807, h = 1647, f = 4454, action: ('take', <package.Package instance at 0x88647ea8>)
agent PreviousPosition:U, CurrentPosition:I --> g = 2867, h = 1587, f = 4454, action: ('moveAndDrop', 'I')
agent PreviousPosition:H, CurrentPosition:H --> g = 3256, h = 1198, f = 4454, action: ('take', <package.Package instance at 0x4ae86a28>)
agent PreviousPosition:H, CurrentPosition:C --> g = 3438, h = 1016, f = 4454, action: ('moveAndDrop', 'C')
agent PreviousPosition:L, CurrentPosition:L --> g = 2574, h = 1882, f = 4456, action: ('take', <package.Package instance at 0x35981b90>)
agent PreviousPosition:L, CurrentPosition:U --> g = 2679, h = 1707, f = 4386, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:I --> g = 2729, h = 1707, f = 4436, action: ('moveAndDrop', 'I')
agent PreviousPosition:U, CurrentPosition:L --> g = 2749, h = 1707, f = 4456, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:I --> g = 2420, h = 2036, f = 4456, action: ('moveAndDrop', 'I')
agent PreviousPosition:A, CurrentPosition:S --> g = 2947, h = 1510, f = 4457, action: ('moveAndDrop', 'S')
agent PreviousPosition:A, CurrentPosition:Q --> g = 2971, h = 1486, f = 4457, action: ('moveAndDrop', 'Q')
agent PreviousPosition:A, CurrentPosition:L --> g = 3031, h = 1426, f = 4457, action: ('moveAndDrop', 'L')
agent PreviousPosition:C, CurrentPosition:A --> g = 3610, h = 847, f = 4457, action: ('moveAndDrop', 'A')
agent PreviousPosition:I, CurrentPosition:AD --> g = 2455, h = 2002, f = 4457, action: ('moveAndDrop', 'AD')
agent PreviousPosition:AD, CurrentPosition:AD --> g = 2457, h = 2002, f = 4459, action: ('take', <package.Package instance at 0x2b0287e8>)
agent PreviousPosition:AD, CurrentPosition:L --> g = 2565, h = 1894, f = 4459, action: ('moveAndDrop', 'L')
agent PreviousPosition:A, CurrentPosition:A --> g = 3612, h = 847, f = 4459, action: ('take', <package.Package instance at 0x6104ffc8>)
agent PreviousPosition:A, CurrentPosition:U --> g = 3816, h = 643, f = 4459, action: ('moveAndDrop', 'U')
agent PreviousPosition:A, CurrentPosition:I --> g = 3756, h = 703, f = 4459, action: ('moveAndDrop', 'I')
agent PreviousPosition:H, CurrentPosition:A --> g = 3547, h = 912, f = 4459, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 3261, h = 1198, f = 4459, action: ('moveAndDrop', 'E')
agent PreviousPosition:O, CurrentPosition:C --> g = 3165, h = 1294, f = 4459, action: ('moveAndDrop', 'C')
agent PreviousPosition:L, CurrentPosition:O --> g = 2997, h = 1462, f = 4459, action: ('moveAndDrop', 'O')
agent PreviousPosition:L, CurrentPosition:L --> g = 3034, h = 1426, f = 4460, action: ('take', <package.Package instance at 0x696bea28>)
agent PreviousPosition:L, CurrentPosition:U --> g = 3139, h = 1251, f = 4390, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:U --> g = 3141, h = 1251, f = 4392, action: ('take', <package.Package instance at 0x9abf6a28>)
agent PreviousPosition:U, CurrentPosition:I --> g = 3201, h = 1191, f = 4392, action: ('moveAndDrop', 'I')
agent PreviousPosition:U, CurrentPosition:I --> g = 3189, h = 1251, f = 4440, action: ('moveAndDrop', 'I')
agent PreviousPosition:I, CurrentPosition:U --> g = 3251, h = 1191, f = 4442, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:L --> g = 3209, h = 1251, f = 4460, action: ('moveAndDrop', 'L')
agent PreviousPosition:U, CurrentPosition:AD --> g = 3557, h = 903, f = 4460, action: ('moveAndDrop', 'AD')
agent PreviousPosition:U, CurrentPosition:S --> g = 3557, h = 903, f = 4460, action: ('moveAndDrop', 'S')
agent PreviousPosition:L, CurrentPosition:I --> g = 3432, h = 1028, f = 4460, action: ('moveAndDrop', 'I')
agent PreviousPosition:L, CurrentPosition:U --> g = 2621, h = 1839, f = 4460, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:V --> g = 2813, h = 1647, f = 4460, action: ('moveAndDrop', 'V')
agent PreviousPosition:U, CurrentPosition:L --> g = 2705, h = 1755, f = 4460, action: ('moveAndDrop', 'L')
agent PreviousPosition:U, CurrentPosition:L --> g = 2549, h = 1911, f = 4460, action: ('moveAndDrop', 'L')
agent PreviousPosition:E, CurrentPosition:A --> g = 1990, h = 2470, f = 4460, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:A --> g = 3549, h = 912, f = 4461, action: ('take', <package.Package instance at 0x603ff3b0>)
agent PreviousPosition:U, CurrentPosition:U --> g = 3818, h = 643, f = 4461, action: ('take', <package.Package instance at 0x97560128>)
agent PreviousPosition:U, CurrentPosition:I --> g = 3878, h = 583, f = 4461, action: ('moveAndDrop', 'I')
agent PreviousPosition:AD, CurrentPosition:AD --> g = 2459, h = 2002, f = 4461, action: ('take', <package.Package instance at 0x2f5ee368>)
agent PreviousPosition:AD, CurrentPosition:L --> g = 2585, h = 1786, f = 4371, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:V --> g = 2693, h = 1678, f = 4371, action: ('moveAndDrop', 'V')
agent PreviousPosition:V, CurrentPosition:V --> g = 2695, h = 1678, f = 4373, action: ('take', <package.Package instance at 0xa5bcad40>)
agent PreviousPosition:V, CurrentPosition:Q --> g = 2887, h = 1486, f = 4373, action: ('moveAndDrop', 'Q')
agent PreviousPosition:V, CurrentPosition:L --> g = 2803, h = 1570, f = 4373, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:L --> g = 2588, h = 1786, f = 4374, action: ('take', <package.Package instance at 0xa4f65440>)
agent PreviousPosition:V, CurrentPosition:V --> g = 2697, h = 1678, f = 4375, action: ('take', <package.Package instance at 0xa5e31320>)
agent PreviousPosition:L, CurrentPosition:L --> g = 2806, h = 1570, f = 4376, action: ('take', <package.Package instance at 0xa6d4c638>)
agent PreviousPosition:V, CurrentPosition:L --> g = 2823, h = 1558, f = 4381, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:S --> g = 2927, h = 1486, f = 4413, action: ('moveAndDrop', 'S')
agent PreviousPosition:L, CurrentPosition:O --> g = 2875, h = 1546, f = 4421, action: ('moveAndDrop', 'O')
agent PreviousPosition:V, CurrentPosition:AC --> g = 2865, h = 1558, f = 4423, action: ('moveAndDrop', 'AC')
agent PreviousPosition:AC, CurrentPosition:Q --> g = 3081, h = 1342, f = 4423, action: ('moveAndDrop', 'Q')
agent PreviousPosition:AC, CurrentPosition:L --> g = 2997, h = 1426, f = 4423, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:O --> g = 2937, h = 1486, f = 4423, action: ('moveAndDrop', 'O')
agent PreviousPosition:AC, CurrentPosition:AC --> g = 2867, h = 1558, f = 4425, action: ('take', <package.Package instance at 0xa94f4cf8>)
agent PreviousPosition:AC, CurrentPosition:O --> g = 3105, h = 1198, f = 4303, action: ('moveAndDrop', 'O')
agent PreviousPosition:O, CurrentPosition:Q --> g = 3165, h = 1138, f = 4303, action: ('moveAndDrop', 'Q')
agent PreviousPosition:AC, CurrentPosition:L --> g = 3021, h = 1294, f = 4315, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:Q --> g = 3119, h = 1198, f = 4317, action: ('moveAndDrop', 'Q')
agent PreviousPosition:Q, CurrentPosition:O --> g = 3179, h = 1138, f = 4317, action: ('moveAndDrop', 'O')
agent PreviousPosition:Q, CurrentPosition:S --> g = 3205, h = 1138, f = 4343, action: ('moveAndDrop', 'S')
agent PreviousPosition:Q, CurrentPosition:L --> g = 3235, h = 1138, f = 4373, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:A --> g = 3235, h = 1138, f = 4373, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:A --> g = 3237, h = 1138, f = 4375, action: ('take', <package.Package instance at 0xaf13e6c8>)
agent PreviousPosition:A, CurrentPosition:I --> g = 3381, h = 994, f = 4375, action: ('moveAndDrop', 'I')
agent PreviousPosition:O, CurrentPosition:S --> g = 3189, h = 1186, f = 4375, action: ('moveAndDrop', 'S')
agent PreviousPosition:L, CurrentPosition:L --> g = 3238, h = 1138, f = 4376, action: ('take', <package.Package instance at 0xaf4fcf38>)
agent PreviousPosition:Q, CurrentPosition:AD --> g = 3245, h = 1138, f = 4383, action: ('moveAndDrop', 'AD')
agent PreviousPosition:Q, CurrentPosition:C --> g = 3245, h = 1138, f = 4383, action: ('moveAndDrop', 'C')
agent PreviousPosition:Q, CurrentPosition:S --> g = 3167, h = 1222, f = 4389, action: ('moveAndDrop', 'S')
agent PreviousPosition:A, CurrentPosition:S --> g = 3297, h = 1102, f = 4399, action: ('moveAndDrop', 'S')
agent PreviousPosition:A, CurrentPosition:Q --> g = 3321, h = 1078, f = 4399, action: ('moveAndDrop', 'Q')
agent PreviousPosition:A, CurrentPosition:L --> g = 3381, h = 1018, f = 4399, action: ('moveAndDrop', 'L')
agent PreviousPosition:O, CurrentPosition:L --> g = 3177, h = 1222, f = 4399, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:L --> g = 3180, h = 1222, f = 4402, action: ('take', <package.Package instance at 0xaec8de60>)
agent PreviousPosition:L, CurrentPosition:L --> g = 3384, h = 1018, f = 4402, action: ('take', <package.Package instance at 0xb332ea70>)
agent PreviousPosition:Q, CurrentPosition:L --> g = 3203, h = 1210, f = 4413, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:E --> g = 3275, h = 1138, f = 4413, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 3278, h = 1138, f = 4416, action: ('take', <package.Package instance at 0xaf24f908>)
agent PreviousPosition:E, CurrentPosition:H --> g = 3447, h = 969, f = 4416, action: ('moveAndDrop', 'H')
agent PreviousPosition:L, CurrentPosition:L --> g = 3206, h = 1210, f = 4416, action: ('take', <package.Package instance at 0xb067ee18>)
agent PreviousPosition:L, CurrentPosition:S --> g = 3147, h = 1270, f = 4417, action: ('moveAndDrop', 'S')
agent PreviousPosition:H, CurrentPosition:H --> g = 3450, h = 969, f = 4419, action: ('take', <package.Package instance at 0xbaea95f0>)
agent PreviousPosition:H, CurrentPosition:C --> g = 3632, h = 787, f = 4419, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:O --> g = 3357, h = 1066, f = 4423, action: ('moveAndDrop', 'O')
agent PreviousPosition:Q, CurrentPosition:U --> g = 3285, h = 1138, f = 4423, action: ('moveAndDrop', 'U')
agent PreviousPosition:O, CurrentPosition:AD --> g = 3189, h = 1234, f = 4423, action: ('moveAndDrop', 'AD')
agent PreviousPosition:L, CurrentPosition:L --> g = 3000, h = 1426, f = 4426, action: ('take', <package.Package instance at 0xabe42320>)
agent PreviousPosition:Q, CurrentPosition:AD --> g = 3215, h = 1222, f = 4437, action: ('moveAndDrop', 'AD')
agent PreviousPosition:Q, CurrentPosition:L --> g = 2957, h = 1486, f = 4443, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:A --> g = 2957, h = 1486, f = 4443, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:A --> g = 2959, h = 1486, f = 4445, action: ('take', <package.Package instance at 0xa723d248>)
agent PreviousPosition:A, CurrentPosition:U --> g = 3163, h = 1282, f = 4445, action: ('moveAndDrop', 'U')
agent PreviousPosition:A, CurrentPosition:I --> g = 3103, h = 1342, f = 4445, action: ('moveAndDrop', 'I')
agent PreviousPosition:L, CurrentPosition:S --> g = 2911, h = 1534, f = 4445, action: ('moveAndDrop', 'S')
agent PreviousPosition:L, CurrentPosition:L --> g = 2960, h = 1486, f = 4446, action: ('take', <package.Package instance at 0xa75fce60>)
agent PreviousPosition:L, CurrentPosition:U --> g = 3051, h = 1395, f = 4446, action: ('moveAndDrop', 'U')
agent PreviousPosition:A, CurrentPosition:C --> g = 3297, h = 1150, f = 4447, action: ('moveAndDrop', 'C')
agent PreviousPosition:O, CurrentPosition:A --> g = 3225, h = 1222, f = 4447, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:A --> g = 3227, h = 1222, f = 4449, action: ('take', <package.Package instance at 0xae73d440>)
agent PreviousPosition:A, CurrentPosition:S --> g = 3297, h = 1150, f = 4447, action: ('moveAndDrop', 'S')
agent PreviousPosition:L, CurrentPosition:U --> g = 2911, h = 1539, f = 4450, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:Q --> g = 3055, h = 1395, f = 4450, action: ('moveAndDrop', 'Q')
agent PreviousPosition:Q, CurrentPosition:AD --> g = 2967, h = 1486, f = 4453, action: ('moveAndDrop', 'AD')
agent PreviousPosition:Q, CurrentPosition:C --> g = 2967, h = 1486, f = 4453, action: ('moveAndDrop', 'C')
agent PreviousPosition:L, CurrentPosition:I --> g = 3342, h = 1112, f = 4454, action: ('moveAndDrop', 'I')
agent PreviousPosition:Q, CurrentPosition:A --> g = 3203, h = 1258, f = 4461, action: ('moveAndDrop', 'A')
agent PreviousPosition:V, CurrentPosition:L --> g = 2783, h = 1678, f = 4461, action: ('moveAndDrop', 'L')
agent PreviousPosition:I, CurrentPosition:L --> g = 2394, h = 2067, f = 4461, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:O --> g = 3059, h = 1402, f = 4461, action: ('moveAndDrop', 'O')
agent PreviousPosition:L, CurrentPosition:Q --> g = 2911, h = 1551, f = 4462, action: ('moveAndDrop', 'Q')
agent PreviousPosition:A, CurrentPosition:A --> g = 1992, h = 2470, f = 4462, action: ('take', <package.Package instance at 0x211f0908>)
agent PreviousPosition:A, CurrentPosition:Q --> g = 2090, h = 2326, f = 4416, action: ('moveAndDrop', 'Q')
agent PreviousPosition:Q, CurrentPosition:U --> g = 2234, h = 2182, f = 4416, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:U --> g = 2236, h = 2182, f = 4418, action: ('take', <package.Package instance at 0xcc6a6128>)
agent PreviousPosition:U, CurrentPosition:I --> g = 2296, h = 2122, f = 4418, action: ('moveAndDrop', 'I')
agent PreviousPosition:Q, CurrentPosition:Q --> g = 2093, h = 2326, f = 4419, action: ('take', <package.Package instance at 0xcbe1ac20>)
agent PreviousPosition:Q, CurrentPosition:U --> g = 2273, h = 2026, f = 4299, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:U --> g = 2275, h = 2026, f = 4301, action: ('take', <package.Package instance at 0xcebf5098>)
agent PreviousPosition:U, CurrentPosition:I --> g = 2335, h = 1966, f = 4301, action: ('moveAndDrop', 'I')
agent PreviousPosition:U, CurrentPosition:I --> g = 2323, h = 2026, f = 4349, action: ('moveAndDrop', 'I')
agent PreviousPosition:I, CurrentPosition:U --> g = 2385, h = 1966, f = 4351, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:L --> g = 2343, h = 2026, f = 4369, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:L --> g = 2346, h = 2026, f = 4372, action: ('take', <package.Package instance at 0xcf5d9170>)
agent PreviousPosition:L, CurrentPosition:U --> g = 2437, h = 1935, f = 4372, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:U --> g = 2439, h = 1935, f = 4374, action: ('take', <package.Package instance at 0xd2cc9830>)
agent PreviousPosition:U, CurrentPosition:I --> g = 2499, h = 1875, f = 4374, action: ('moveAndDrop', 'I')
agent PreviousPosition:I, CurrentPosition:L --> g = 2415, h = 1966, f = 4381, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:L --> g = 2418, h = 1966, f = 4384, action: ('take', <package.Package instance at 0xd0894b00>)
agent PreviousPosition:L, CurrentPosition:U --> g = 2509, h = 1875, f = 4384, action: ('moveAndDrop', 'U')
agent PreviousPosition:Q, CurrentPosition:L --> g = 2198, h = 2201, f = 4399, action: ('moveAndDrop', 'L')
agent PreviousPosition:U, CurrentPosition:O --> g = 2383, h = 2026, f = 4409, action: ('moveAndDrop', 'O')
agent PreviousPosition:U, CurrentPosition:Q --> g = 2393, h = 2026, f = 4419, action: ('moveAndDrop', 'Q')
agent PreviousPosition:I, CurrentPosition:O --> g = 2455, h = 1966, f = 4421, action: ('moveAndDrop', 'O')
agent PreviousPosition:I, CurrentPosition:E --> g = 2455, h = 1966, f = 4421, action: ('moveAndDrop', 'E')
agent PreviousPosition:I, CurrentPosition:A --> g = 2455, h = 1966, f = 4421, action: ('moveAndDrop', 'A')
agent PreviousPosition:U, CurrentPosition:L --> g = 2359, h = 2062, f = 4421, action: ('moveAndDrop', 'L')
agent PreviousPosition:U, CurrentPosition:I --> g = 2487, h = 1935, f = 4422, action: ('moveAndDrop', 'I')
agent PreviousPosition:L, CurrentPosition:L --> g = 2362, h = 2062, f = 4424, action: ('take', <package.Package instance at 0xcff12710>)
agent PreviousPosition:L, CurrentPosition:I --> g = 2482, h = 1940, f = 4422, action: ('moveAndDrop', 'I')
agent PreviousPosition:E, CurrentPosition:E --> g = 2458, h = 1966, f = 4424, action: ('take', <package.Package instance at 0xd0605830>)
agent PreviousPosition:E, CurrentPosition:H --> g = 2627, h = 1797, f = 4424, action: ('moveAndDrop', 'H')
agent PreviousPosition:H, CurrentPosition:H --> g = 2630, h = 1797, f = 4427, action: ('take', <package.Package instance at 0xdc480ab8>)
agent PreviousPosition:H, CurrentPosition:C --> g = 2812, h = 1615, f = 4427, action: ('moveAndDrop', 'C')
agent PreviousPosition:I, CurrentPosition:S --> g = 2465, h = 1966, f = 4431, action: ('moveAndDrop', 'S')
agent PreviousPosition:I, CurrentPosition:Q --> g = 2465, h = 1966, f = 4431, action: ('moveAndDrop', 'Q')
agent PreviousPosition:I, CurrentPosition:C --> g = 2465, h = 1966, f = 4431, action: ('moveAndDrop', 'C')
agent PreviousPosition:S, CurrentPosition:S --> g = 2467, h = 1966, f = 4433, action: ('take', <package.Package instance at 0xd0a0aa70>)
agent PreviousPosition:U, CurrentPosition:AD --> g = 2413, h = 2026, f = 4439, action: ('moveAndDrop', 'AD')
agent PreviousPosition:U, CurrentPosition:S --> g = 2413, h = 2026, f = 4439, action: ('moveAndDrop', 'S')
agent PreviousPosition:Q, CurrentPosition:I --> g = 2288, h = 2151, f = 4439, action: ('moveAndDrop', 'I')
agent PreviousPosition:Q, CurrentPosition:L --> g = 2174, h = 2266, f = 4440, action: ('moveAndDrop', 'L')
agent PreviousPosition:S, CurrentPosition:S --> g = 2415, h = 2026, f = 4441, action: ('take', <package.Package instance at 0xcf86a1b8>)
agent PreviousPosition:S, CurrentPosition:U --> g = 2583, h = 1858, f = 4441, action: ('moveAndDrop', 'U')
agent PreviousPosition:AD, CurrentPosition:AD --> g = 2415, h = 2026, f = 4441, action: ('take', <package.Package instance at 0xcfacb5f0>)
agent PreviousPosition:AD, CurrentPosition:V --> g = 2631, h = 1810, f = 4441, action: ('moveAndDrop', 'V')
agent PreviousPosition:AD, CurrentPosition:L --> g = 2523, h = 1918, f = 4441, action: ('moveAndDrop', 'L')
agent PreviousPosition:U, CurrentPosition:L --> g = 2507, h = 1935, f = 4442, action: ('moveAndDrop', 'L')
agent PreviousPosition:V, CurrentPosition:V --> g = 2633, h = 1810, f = 4443, action: ('take', <package.Package instance at 0xe488ca70>)
agent PreviousPosition:V, CurrentPosition:Q --> g = 2825, h = 1618, f = 4443, action: ('moveAndDrop', 'Q')
agent PreviousPosition:V, CurrentPosition:L --> g = 2741, h = 1702, f = 4443, action: ('moveAndDrop', 'L')
agent PreviousPosition:AD, CurrentPosition:AD --> g = 2417, h = 2026, f = 4443, action: ('take', <package.Package instance at 0xd64c7cf8>)
agent PreviousPosition:AD, CurrentPosition:L --> g = 2543, h = 1810, f = 4353, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:V --> g = 2651, h = 1702, f = 4353, action: ('moveAndDrop', 'V')
agent PreviousPosition:V, CurrentPosition:V --> g = 2653, h = 1702, f = 4355, action: ('take', <package.Package instance at 0xe9237638>)
agent PreviousPosition:V, CurrentPosition:Q --> g = 2845, h = 1510, f = 4355, action: ('moveAndDrop', 'Q')
agent PreviousPosition:V, CurrentPosition:L --> g = 2761, h = 1594, f = 4355, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:L --> g = 2546, h = 1810, f = 4356, action: ('take', <package.Package instance at 0xe86de7a0>)
agent PreviousPosition:V, CurrentPosition:V --> g = 2655, h = 1702, f = 4357, action: ('take', <package.Package instance at 0xe949bcf8>)
agent PreviousPosition:L, CurrentPosition:L --> g = 2764, h = 1594, f = 4358, action: ('take', <package.Package instance at 0xea3b65a8>)
agent PreviousPosition:V, CurrentPosition:L --> g = 2781, h = 1582, f = 4363, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:S --> g = 2885, h = 1510, f = 4395, action: ('moveAndDrop', 'S')
agent PreviousPosition:S, CurrentPosition:S --> g = 2887, h = 1510, f = 4397, action: ('take', <package.Package instance at 0xeaecb5f0>)
agent PreviousPosition:L, CurrentPosition:O --> g = 2833, h = 1570, f = 4403, action: ('moveAndDrop', 'O')
agent PreviousPosition:V, CurrentPosition:AC --> g = 2823, h = 1582, f = 4405, action: ('moveAndDrop', 'AC')
agent PreviousPosition:AC, CurrentPosition:Q --> g = 3039, h = 1366, f = 4405, action: ('moveAndDrop', 'Q')
agent PreviousPosition:AC, CurrentPosition:L --> g = 2955, h = 1450, f = 4405, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:O --> g = 2895, h = 1510, f = 4405, action: ('moveAndDrop', 'O')
agent PreviousPosition:AC, CurrentPosition:AC --> g = 2825, h = 1582, f = 4407, action: ('take', <package.Package instance at 0xecb62cb0>)
agent PreviousPosition:AC, CurrentPosition:O --> g = 3063, h = 1222, f = 4285, action: ('moveAndDrop', 'O')
agent PreviousPosition:O, CurrentPosition:Q --> g = 3123, h = 1162, f = 4285, action: ('moveAndDrop', 'Q')
agent PreviousPosition:AC, CurrentPosition:L --> g = 2979, h = 1318, f = 4297, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:Q --> g = 3077, h = 1222, f = 4299, action: ('moveAndDrop', 'Q')
agent PreviousPosition:Q, CurrentPosition:O --> g = 3137, h = 1162, f = 4299, action: ('moveAndDrop', 'O')
agent PreviousPosition:Q, CurrentPosition:S --> g = 3163, h = 1162, f = 4325, action: ('moveAndDrop', 'S')
agent PreviousPosition:S, CurrentPosition:S --> g = 3165, h = 1162, f = 4327, action: ('take', <package.Package instance at 0xf368b3b0>)
agent PreviousPosition:S, CurrentPosition:Q --> g = 3213, h = 1138, f = 4351, action: ('moveAndDrop', 'Q')
agent PreviousPosition:S, CurrentPosition:L --> g = 3273, h = 1078, f = 4351, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:L --> g = 3276, h = 1078, f = 4354, action: ('take', <package.Package instance at 0xf620d0e0>)
agent PreviousPosition:Q, CurrentPosition:L --> g = 3193, h = 1162, f = 4355, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:A --> g = 3193, h = 1162, f = 4355, action: ('moveAndDrop', 'A')
agent PreviousPosition:O, CurrentPosition:S --> g = 3147, h = 1210, f = 4357, action: ('moveAndDrop', 'S')
agent PreviousPosition:L, CurrentPosition:L --> g = 3196, h = 1162, f = 4358, action: ('take', <package.Package instance at 0xf352d098>)
agent PreviousPosition:L, CurrentPosition:U --> g = 3287, h = 1071, f = 4358, action: ('moveAndDrop', 'U')
agent PreviousPosition:S, CurrentPosition:S --> g = 3149, h = 1210, f = 4359, action: ('take', <package.Package instance at 0xf2d91f38>)
agent PreviousPosition:U, CurrentPosition:U --> g = 3289, h = 1071, f = 4360, action: ('take', <package.Package instance at 0xf9dd9f80>)
agent PreviousPosition:U, CurrentPosition:I --> g = 3349, h = 1011, f = 4360, action: ('moveAndDrop', 'I')
agent PreviousPosition:Q, CurrentPosition:AD --> g = 3203, h = 1162, f = 4365, action: ('moveAndDrop', 'AD')
agent PreviousPosition:Q, CurrentPosition:C --> g = 3203, h = 1162, f = 4365, action: ('moveAndDrop', 'C')
agent PreviousPosition:Q, CurrentPosition:S --> g = 3125, h = 1246, f = 4371, action: ('moveAndDrop', 'S')
agent PreviousPosition:S, CurrentPosition:S --> g = 3127, h = 1246, f = 4373, action: ('take', <package.Package instance at 0xf48099e0>)
agent PreviousPosition:S, CurrentPosition:O --> g = 3225, h = 1126, f = 4351, action: ('moveAndDrop', 'O')
agent PreviousPosition:S, CurrentPosition:I --> g = 3321, h = 1054, f = 4375, action: ('moveAndDrop', 'I')
agent PreviousPosition:S, CurrentPosition:Q --> g = 3183, h = 1198, f = 4381, action: ('moveAndDrop', 'Q')
agent PreviousPosition:O, CurrentPosition:L --> g = 3135, h = 1246, f = 4381, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:L --> g = 3138, h = 1246, f = 4384, action: ('take', <package.Package instance at 0xf2c81bd8>)
agent PreviousPosition:Q, CurrentPosition:L --> g = 3161, h = 1234, f = 4395, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:E --> g = 3233, h = 1162, f = 4395, action: ('moveAndDrop', 'E')
