agent PreviousPosition:None, CurrentPosition:A, g = 0, h = 3799, f = 3799, action: None
agent PreviousPosition:E, CurrentPosition:E --> g = 1311, h = 2169, f = 3480, action: ('take', <package.Package instance at 0x117ca710>)
agent PreviousPosition:E, CurrentPosition:A --> g = 1431, h = 2025, f = 3456, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:D --> g = 1571, h = 1885, f = 3456, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 1573, h = 1885, f = 3458, action: ('take', <package.Package instance at 0x1491c8c0>)
agent PreviousPosition:D, CurrentPosition:E --> g = 1741, h = 1717, f = 3458, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 1746, h = 1717, f = 3463, action: ('take', <package.Package instance at 0x149306c8>)
agent PreviousPosition:E, CurrentPosition:D --> g = 1956, h = 1507, f = 3463, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 1960, h = 1507, f = 3467, action: ('take', <package.Package instance at 0x14941488>)
agent PreviousPosition:D, CurrentPosition:E --> g = 2156, h = 1311, f = 3467, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 2161, h = 1311, f = 3472, action: ('take', <package.Package instance at 0x14951cf8>)
agent PreviousPosition:E, CurrentPosition:A --> g = 2281, h = 1191, f = 3472, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:A --> g = 2286, h = 1191, f = 3477, action: ('take', <package.Package instance at 0x14abe290>)
agent PreviousPosition:A, CurrentPosition:D --> g = 2436, h = 1041, f = 3477, action: ('moveAndDrop', 'D')
agent PreviousPosition:F, CurrentPosition:F --> g = 1723, h = 1757, f = 3480, action: ('take', <package.Package instance at 0x12943758>)
agent PreviousPosition:F, CurrentPosition:D --> g = 1858, h = 1622, f = 3480, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:A --> g = 1852, h = 1628, f = 3480, action: ('take', <package.Package instance at 0x13fa0f38>)
agent PreviousPosition:A, CurrentPosition:D --> g = 2002, h = 1478, f = 3480, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:A --> g = 1657, h = 1823, f = 3480, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 1447, h = 2033, f = 3480, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 1243, h = 2237, f = 3480, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 1538, h = 1943, f = 3481, action: ('take', <package.Package instance at 0x11e1f950>)
agent PreviousPosition:E, CurrentPosition:E --> g = 1682, h = 1799, f = 3481, action: ('take', <package.Package instance at 0x1413d710>)
agent PreviousPosition:E, CurrentPosition:D --> g = 1878, h = 1603, f = 3481, action: ('moveAndDrop', 'D')
agent PreviousPosition:F, CurrentPosition:F --> g = 2022, h = 1459, f = 3481, action: ('take', <package.Package instance at 0x12953ef0>)
agent PreviousPosition:F, CurrentPosition:A --> g = 2217, h = 1264, f = 3481, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:D --> g = 2004, h = 1478, f = 3482, action: ('take', <package.Package instance at 0x14af0a70>)
agent PreviousPosition:D, CurrentPosition:F --> g = 2112, h = 1370, f = 3482, action: ('moveAndDrop', 'F')
agent PreviousPosition:D, CurrentPosition:D --> g = 1860, h = 1622, f = 3482, action: ('take', <package.Package instance at 0x14ae3248>)
agent PreviousPosition:D, CurrentPosition:E --> g = 2028, h = 1454, f = 3482, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:D --> g = 2441, h = 1041, f = 3482, action: ('take', <package.Package instance at 0x14acfab8>)
agent PreviousPosition:D, CurrentPosition:A --> g = 2591, h = 891, f = 3482, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:F --> g = 1681, h = 1801, f = 3482, action: ('moveAndDrop', 'F')
agent PreviousPosition:D, CurrentPosition:D --> g = 2536, h = 946, f = 3482, action: ('take', <package.Package instance at 0x1447ed88>)
agent PreviousPosition:D, CurrentPosition:E --> g = 2732, h = 750, f = 3482, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:A --> g = 2242, h = 1240, f = 3482, action: ('take', <package.Package instance at 0x142d8290>)
agent PreviousPosition:A, CurrentPosition:D --> g = 2392, h = 1090, f = 3482, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 2807, h = 675, f = 3482, action: ('take', <package.Package instance at 0x142ca6c8>)
agent PreviousPosition:D, CurrentPosition:A --> g = 2957, h = 525, f = 3482, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:A --> g = 2100, h = 1382, f = 3482, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 2387, h = 1095, f = 3482, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 2672, h = 810, f = 3482, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:D --> g = 1878, h = 1604, f = 3482, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:D --> g = 1641, h = 1841, f = 3482, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:A --> g = 1053, h = 2429, f = 3482, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:F --> g = 1209, h = 2273, f = 3482, action: ('moveAndDrop', 'F')
agent PreviousPosition:D, CurrentPosition:D --> g = 1880, h = 1603, f = 3483, action: ('take', <package.Package instance at 0x14c708c0>)
agent PreviousPosition:D, CurrentPosition:F --> g = 1988, h = 1495, f = 3483, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:A --> g = 1922, h = 1561, f = 3483, action: ('take', <package.Package instance at 0xf4595f0>)
agent PreviousPosition:F, CurrentPosition:D --> g = 2177, h = 1306, f = 3483, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:F --> g = 1792, h = 1691, f = 3483, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:F --> g = 2183, h = 1300, f = 3483, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 2042, h = 1441, f = 3483, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:E --> g = 1918, h = 1565, f = 3483, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 1211, h = 2273, f = 3484, action: ('take', <package.Package instance at 0x1512c128>)
agent PreviousPosition:F, CurrentPosition:F --> g = 2389, h = 1095, f = 3484, action: ('take', <package.Package instance at 0xf7b8290>)
agent PreviousPosition:F, CurrentPosition:E --> g = 2473, h = 1011, f = 3484, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 1683, h = 1801, f = 3484, action: ('take', <package.Package instance at 0x14932b90>)
agent PreviousPosition:E, CurrentPosition:E --> g = 2030, h = 1454, f = 3484, action: ('take', <package.Package instance at 0x14df6a28>)
agent PreviousPosition:E, CurrentPosition:F --> g = 2114, h = 1370, f = 3484, action: ('moveAndDrop', 'F')
agent PreviousPosition:D, CurrentPosition:D --> g = 1862, h = 1622, f = 3484, action: ('take', <package.Package instance at 0x14ae7440>)
agent PreviousPosition:D, CurrentPosition:F --> g = 1988, h = 1430, f = 3418, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 2072, h = 1346, f = 3418, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 2074, h = 1346, f = 3420, action: ('take', <package.Package instance at 0x1545efc8>)
agent PreviousPosition:E, CurrentPosition:F --> g = 2158, h = 1262, f = 3420, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:F --> g = 2163, h = 1262, f = 3425, action: ('take', <package.Package instance at 0x15470998>)
agent PreviousPosition:F, CurrentPosition:A --> g = 2358, h = 1067, f = 3425, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 2268, h = 1187, f = 3455, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:D --> g = 2006, h = 1478, f = 3484, action: ('take', <package.Package instance at 0x14c4bd40>)
agent PreviousPosition:E, CurrentPosition:E --> g = 1451, h = 2033, f = 3484, action: ('take', <package.Package instance at 0x11fa51b8>)
agent PreviousPosition:E, CurrentPosition:D --> g = 1647, h = 1837, f = 3484, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:E --> g = 1917, h = 1567, f = 3484, action: ('take', <package.Package instance at 0x146087e8>)
agent PreviousPosition:E, CurrentPosition:A --> g = 2037, h = 1447, f = 3484, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 1260, h = 2224, f = 3484, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:F --> g = 1260, h = 2224, f = 3484, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 1351, h = 2109, f = 3460, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 1794, h = 1691, f = 3485, action: ('take', <package.Package instance at 0x12462b48>)
agent PreviousPosition:D, CurrentPosition:D --> g = 1882, h = 1603, f = 3485, action: ('take', <package.Package instance at 0x14c74b90>)
agent PreviousPosition:A, CurrentPosition:A --> g = 1662, h = 1823, f = 3485, action: ('take', <package.Package instance at 0x127b3bd8>)
agent PreviousPosition:F, CurrentPosition:F --> g = 2479, h = 1006, f = 3485, action: ('take', <package.Package instance at 0x147ab128>)
agent PreviousPosition:F, CurrentPosition:A --> g = 2674, h = 811, f = 3485, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 2278, h = 1207, f = 3485, action: ('take', <package.Package instance at 0x14796998>)
agent PreviousPosition:E, CurrentPosition:D --> g = 2488, h = 997, f = 3485, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:F --> g = 1638, h = 1847, f = 3485, action: ('moveAndDrop', 'F')
agent PreviousPosition:D, CurrentPosition:A --> g = 1728, h = 1757, f = 3485, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 2269, h = 1216, f = 3485, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:D --> g = 1649, h = 1837, f = 3486, action: ('take', <package.Package instance at 0x155f42d8>)
agent PreviousPosition:D, CurrentPosition:F --> g = 1757, h = 1729, f = 3486, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:F --> g = 1213, h = 2273, f = 3486, action: ('take', <package.Package instance at 0x1512e320>)
agent PreviousPosition:F, CurrentPosition:E --> g = 1311, h = 2129, f = 3440, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 1313, h = 2129, f = 3442, action: ('take', <package.Package instance at 0x1591a1b8>)
agent PreviousPosition:D, CurrentPosition:D --> g = 1645, h = 1841, f = 3486, action: ('take', <package.Package instance at 0xe138878>)
agent PreviousPosition:D, CurrentPosition:E --> g = 1841, h = 1645, f = 3486, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:A --> g = 2222, h = 1264, f = 3486, action: ('take', <package.Package instance at 0x14c7eea8>)
agent PreviousPosition:A, CurrentPosition:D --> g = 2372, h = 1114, f = 3486, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:A --> g = 2027, h = 1459, f = 3486, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 1640, h = 1847, f = 3487, action: ('take', <package.Package instance at 0x12ad04d0>)
agent PreviousPosition:E, CurrentPosition:E --> g = 1922, h = 1565, f = 3487, action: ('take', <package.Package instance at 0xe1490e0>)
agent PreviousPosition:E, CurrentPosition:D --> g = 2118, h = 1369, f = 3487, action: ('moveAndDrop', 'D')
agent PreviousPosition:F, CurrentPosition:F --> g = 1992, h = 1495, f = 3487, action: ('take', <package.Package instance at 0x1513f1b8>)
agent PreviousPosition:D, CurrentPosition:D --> g = 2397, h = 1090, f = 3487, action: ('take', <package.Package instance at 0x14f8fb90>)
agent PreviousPosition:D, CurrentPosition:A --> g = 2547, h = 940, f = 3487, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 2737, h = 750, f = 3487, action: ('take', <package.Package instance at 0x14e1d998>)
agent PreviousPosition:E, CurrentPosition:A --> g = 2857, h = 630, f = 3487, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 2117, h = 1370, f = 3487, action: ('take', <package.Package instance at 0x14de6758>)
agent PreviousPosition:D, CurrentPosition:F --> g = 1992, h = 1495, f = 3487, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 1907, h = 1580, f = 3487, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 1864, h = 1623, f = 3487, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:D --> g = 1967, h = 1520, f = 3487, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 2374, h = 1114, f = 3488, action: ('take', <package.Package instance at 0x1593bf80>)
agent PreviousPosition:D, CurrentPosition:F --> g = 2482, h = 1006, f = 3488, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:E --> g = 1843, h = 1645, f = 3488, action: ('take', <package.Package instance at 0x1592d3f8>)
agent PreviousPosition:E, CurrentPosition:F --> g = 1927, h = 1561, f = 3488, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:F --> g = 1759, h = 1729, f = 3488, action: ('take', <package.Package instance at 0x157b4680>)
agent PreviousPosition:D, CurrentPosition:D --> g = 1651, h = 1837, f = 3488, action: ('take', <package.Package instance at 0x155f85f0>)
agent PreviousPosition:D, CurrentPosition:E --> g = 2202, h = 1286, f = 3488, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 2142, h = 1346, f = 3488, action: ('moveAndDrop', 'F')
agent PreviousPosition:D, CurrentPosition:E --> g = 2058, h = 1430, f = 3488, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 2047, h = 1441, f = 3488, action: ('take', <package.Package instance at 0xf4928c0>)
agent PreviousPosition:E, CurrentPosition:D --> g = 2257, h = 1231, f = 3488, action: ('moveAndDrop', 'D')
agent PreviousPosition:F, CurrentPosition:F --> g = 2188, h = 1300, f = 3488, action: ('take', <package.Package instance at 0xf939c20>)
agent PreviousPosition:F, CurrentPosition:A --> g = 2383, h = 1105, f = 3488, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 1491, h = 1997, f = 3488, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:A --> g = 2130, h = 1358, f = 3488, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:A --> g = 1633, h = 1855, f = 3488, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:D --> g = 1969, h = 1520, f = 3489, action: ('take', <package.Package instance at 0xefa6560>)
agent PreviousPosition:D, CurrentPosition:E --> g = 2137, h = 1352, f = 3489, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 1994, h = 1495, f = 3489, action: ('take', <package.Package instance at 0x13478950>)
agent PreviousPosition:D, CurrentPosition:D --> g = 2120, h = 1369, f = 3489, action: ('take', <package.Package instance at 0x159524d0>)
agent PreviousPosition:D, CurrentPosition:E --> g = 2288, h = 1201, f = 3489, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 2273, h = 1216, f = 3489, action: ('take', <package.Package instance at 0xf953368>)
agent PreviousPosition:E, CurrentPosition:D --> g = 2469, h = 1020, f = 3489, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 2492, h = 997, f = 3489, action: ('take', <package.Package instance at 0x15795b90>)
agent PreviousPosition:D, CurrentPosition:E --> g = 2688, h = 801, f = 3489, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:E --> g = 2078, h = 1411, f = 3489, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 2119, h = 1370, f = 3489, action: ('take', <package.Package instance at 0x152e9a28>)
agent PreviousPosition:F, CurrentPosition:A --> g = 2314, h = 1175, f = 3489, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 2478, h = 1011, f = 3489, action: ('take', <package.Package instance at 0x152d2f38>)
agent PreviousPosition:E, CurrentPosition:D --> g = 2688, h = 801, f = 3489, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:F --> g = 1784, h = 1705, f = 3489, action: ('moveAndDrop', 'F')
agent PreviousPosition:D, CurrentPosition:A --> g = 2432, h = 1057, f = 3489, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:A --> g = 2198, h = 1291, f = 3489, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 1366, h = 2123, f = 3489, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 2060, h = 1430, f = 3490, action: ('take', <package.Package instance at 0x15455cf8>)
agent PreviousPosition:F, CurrentPosition:F --> g = 1929, h = 1561, f = 3490, action: ('take', <package.Package instance at 0x15c72290>)
agent PreviousPosition:F, CurrentPosition:E --> g = 2013, h = 1477, f = 3490, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 2413, h = 1077, f = 3490, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:E --> g = 1368, h = 2123, f = 3491, action: ('take', <package.Package instance at 0xfaff1b8>)
agent PreviousPosition:E, CurrentPosition:F --> g = 1452, h = 2039, f = 3491, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:A --> g = 2032, h = 1459, f = 3491, action: ('take', <package.Package instance at 0x1294e8c0>)
agent PreviousPosition:A, CurrentPosition:D --> g = 2182, h = 1309, f = 3491, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:A --> g = 2092, h = 1399, f = 3491, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:A --> g = 2008, h = 1483, f = 3491, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 2415, h = 1077, f = 3492, action: ('take', <package.Package instance at 0x10457098>)
agent PreviousPosition:F, CurrentPosition:A --> g = 2571, h = 921, f = 3492, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 1495, h = 1997, f = 3492, action: ('take', <package.Package instance at 0x11948200>)
agent PreviousPosition:D, CurrentPosition:D --> g = 2261, h = 1231, f = 3492, action: ('take', <package.Package instance at 0x15df8680>)
agent PreviousPosition:D, CurrentPosition:E --> g = 2457, h = 1035, f = 3492, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:E --> g = 1847, h = 1645, f = 3492, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:A --> g = 2862, h = 630, f = 3492, action: ('take', <package.Package instance at 0x15ad2bd8>)
agent PreviousPosition:A, CurrentPosition:D --> g = 3012, h = 480, f = 3492, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:F --> g = 1627, h = 1865, f = 3492, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 1543, h = 1949, f = 3492, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:A --> g = 1833, h = 1659, f = 3492, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 1436, h = 2056, f = 3492, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:A --> g = 1579, h = 1913, f = 3492, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 3042, h = 450, f = 3492, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:A --> g = 2122, h = 1370, f = 3492, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 1111, h = 2381, f = 3492, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:D --> g = 2184, h = 1309, f = 3493, action: ('take', <package.Package instance at 0x162d51b8>)
agent PreviousPosition:F, CurrentPosition:F --> g = 1454, h = 2039, f = 3493, action: ('take', <package.Package instance at 0x162c78c0>)
agent PreviousPosition:F, CurrentPosition:A --> g = 1610, h = 1883, f = 3493, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 2141, h = 1352, f = 3493, action: ('take', <package.Package instance at 0x15e1b518>)
agent PreviousPosition:E, CurrentPosition:D --> g = 2337, h = 1156, f = 3493, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:A --> g = 2388, h = 1105, f = 3493, action: ('take', <package.Package instance at 0x15e059e0>)
agent PreviousPosition:A, CurrentPosition:D --> g = 2538, h = 955, f = 3493, action: ('moveAndDrop', 'D')
agent PreviousPosition:F, CurrentPosition:F --> g = 2147, h = 1346, f = 3493, action: ('take', <package.Package instance at 0x15468710>)
agent PreviousPosition:F, CurrentPosition:A --> g = 2342, h = 1151, f = 3493, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 2487, h = 1006, f = 3493, action: ('take', <package.Package instance at 0x15c60cf8>)
agent PreviousPosition:F, CurrentPosition:A --> g = 2682, h = 811, f = 3493, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 1851, h = 1642, f = 3493, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:D --> g = 1406, h = 2087, f = 3493, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:A --> g = 2193, h = 1300, f = 3493, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:A --> g = 1998, h = 1495, f = 3493, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:D --> g = 1988, h = 1505, f = 3493, action: ('moveAndDrop', 'D')
agent PreviousPosition:F, CurrentPosition:A --> g = 1704, h = 1789, f = 3493, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 1113, h = 2381, f = 3494, action: ('take', <package.Package instance at 0xdae90e0>)
agent PreviousPosition:E, CurrentPosition:F --> g = 1197, h = 2297, f = 3494, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:F --> g = 1438, h = 2056, f = 3494, action: ('take', <package.Package instance at 0x10e282d8>)
agent PreviousPosition:F, CurrentPosition:E --> g = 1529, h = 1941, f = 3470, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 2017, h = 1477, f = 3494, action: ('take', <package.Package instance at 0x16158c68>)
agent PreviousPosition:E, CurrentPosition:D --> g = 2213, h = 1281, f = 3494, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 2693, h = 801, f = 3494, action: ('take', <package.Package instance at 0x1612b908>)
agent PreviousPosition:D, CurrentPosition:A --> g = 2843, h = 651, f = 3494, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:D --> g = 2474, h = 1020, f = 3494, action: ('take', <package.Package instance at 0x15fa0128>)
agent PreviousPosition:D, CurrentPosition:A --> g = 2624, h = 870, f = 3494, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 2293, h = 1201, f = 3494, action: ('take', <package.Package instance at 0x15f8fb48>)
agent PreviousPosition:E, CurrentPosition:A --> g = 2413, h = 1081, f = 3494, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:F --> g = 1413, h = 2081, f = 3494, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 2428, h = 1066, f = 3494, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:A --> g = 1401, h = 2093, f = 3494, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:D --> g = 1408, h = 2087, f = 3495, action: ('take', <package.Package instance at 0xfc90638>)
agent PreviousPosition:F, CurrentPosition:F --> g = 1456, h = 2039, f = 3495, action: ('take', <package.Package instance at 0x162cab48>)
agent PreviousPosition:D, CurrentPosition:F --> g = 2086, h = 1409, f = 3495, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:F --> g = 1415, h = 2081, f = 3496, action: ('take', <package.Package instance at 0x1393be60>)
agent PreviousPosition:F, CurrentPosition:F --> g = 1440, h = 2056, f = 3496, action: ('take', <package.Package instance at 0x117b2680>)
agent PreviousPosition:F, CurrentPosition:F --> g = 1199, h = 2297, f = 3496, action: ('take', <package.Package instance at 0x16924b48>)
agent PreviousPosition:F, CurrentPosition:E --> g = 1283, h = 2213, f = 3496, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:A --> g = 1767, h = 1729, f = 3496, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:D --> g = 2341, h = 1156, f = 3497, action: ('take', <package.Package instance at 0x16611c68>)
agent PreviousPosition:D, CurrentPosition:E --> g = 2537, h = 960, f = 3497, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 3047, h = 450, f = 3497, action: ('take', <package.Package instance at 0xf7c2e60>)
agent PreviousPosition:E, CurrentPosition:A --> g = 3167, h = 330, f = 3497, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:A --> g = 1584, h = 1913, f = 3497, action: ('take', <package.Package instance at 0x164868c0>)
agent PreviousPosition:A, CurrentPosition:A --> g = 1548, h = 1949, f = 3497, action: ('take', <package.Package instance at 0x11fb0b00>)
agent PreviousPosition:A, CurrentPosition:D --> g = 1698, h = 1799, f = 3497, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 3017, h = 480, f = 3497, action: ('take', <package.Package instance at 0x16464fc8>)
agent PreviousPosition:D, CurrentPosition:F --> g = 2257, h = 1240, f = 3497, action: ('moveAndDrop', 'F')
agent PreviousPosition:D, CurrentPosition:F --> g = 2897, h = 600, f = 3497, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:F --> g = 1201, h = 2297, f = 3498, action: ('take', <package.Package instance at 0x16926dd0>)
agent PreviousPosition:F, CurrentPosition:E --> g = 1299, h = 2153, f = 3452, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 1395, h = 2057, f = 3452, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:A --> g = 1400, h = 2057, f = 3457, action: ('take', <package.Package instance at 0x16e0ee60>)
agent PreviousPosition:A, CurrentPosition:D --> g = 1550, h = 1907, f = 3457, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 1552, h = 1907, f = 3459, action: ('take', <package.Package instance at 0x16e21128>)
agent PreviousPosition:D, CurrentPosition:F --> g = 1660, h = 1799, f = 3459, action: ('moveAndDrop', 'F')
agent PreviousPosition:D, CurrentPosition:D --> g = 1554, h = 1907, f = 3461, action: ('take', <package.Package instance at 0x16e28878>)
agent PreviousPosition:D, CurrentPosition:F --> g = 1680, h = 1715, f = 3395, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:F --> g = 1664, h = 1799, f = 3463, action: ('take', <package.Package instance at 0x16f95830>)
