agent PreviousPosition:S, CurrentPosition:C --> g = 85730, h = 0, f = 85730, action: ('moveAndDrop', 'C')
agent PreviousPosition:Q, CurrentPosition:H --> g = 51661, h = 1551, f = 53212, action: ('moveAndDrop', 'H')
agent PreviousPosition:O, CurrentPosition:Q --> g = 51501, h = 1551, f = 53052, action: ('moveAndDrop', 'Q')
agent PreviousPosition:L, CurrentPosition:O --> g = 51451, h = 1551, f = 53002, action: ('moveAndDrop', 'O')
agent PreviousPosition:I, CurrentPosition:L --> g = 51391, h = 1551, f = 52942, action: ('moveAndDrop', 'L')
agent PreviousPosition:Z, CurrentPosition:I --> g = 51311, h = 1551, f = 52862, action: ('moveAndDrop', 'I')
agent PreviousPosition:I, CurrentPosition:Z --> g = 51121, h = 1551, f = 52672, action: ('moveAndDrop', 'Z')
agent PreviousPosition:H, CurrentPosition:I --> g = 50931, h = 1551, f = 52482, action: ('moveAndDrop', 'I')
agent PreviousPosition:AC, CurrentPosition:H --> g = 50761, h = 1551, f = 52312, action: ('moveAndDrop', 'H')
agent PreviousPosition:I, CurrentPosition:AC --> g = 50441, h = 1551, f = 51992, action: ('moveAndDrop', 'AC')
agent PreviousPosition:AD, CurrentPosition:I --> g = 50251, h = 1551, f = 51802, action: ('moveAndDrop', 'I')
agent PreviousPosition:E, CurrentPosition:AD --> g = 50101, h = 1551, f = 51652, action: ('moveAndDrop', 'AD')
agent PreviousPosition:AD, CurrentPosition:E --> g = 49931, h = 1551, f = 51482, action: ('moveAndDrop', 'E')
agent PreviousPosition:L, CurrentPosition:AD --> g = 49761, h = 1551, f = 51312, action: ('moveAndDrop', 'AD')
agent PreviousPosition:V, CurrentPosition:L --> g = 49671, h = 1551, f = 51222, action: ('moveAndDrop', 'L')
agent PreviousPosition:A, CurrentPosition:V --> g = 49581, h = 1551, f = 51132, action: ('moveAndDrop', 'V')
agent PreviousPosition:U, CurrentPosition:A --> g = 49371, h = 1551, f = 50922, action: ('moveAndDrop', 'A')
agent PreviousPosition:H, CurrentPosition:U --> g = 49201, h = 1551, f = 50752, action: ('moveAndDrop', 'U')
agent PreviousPosition:C, CurrentPosition:H --> g = 48981, h = 1551, f = 50532, action: ('moveAndDrop', 'H')
agent PreviousPosition:H, CurrentPosition:C --> g = 48841, h = 1551, f = 50392, action: ('moveAndDrop', 'C')
agent PreviousPosition:V, CurrentPosition:H --> g = 48701, h = 1551, f = 50252, action: ('moveAndDrop', 'H')
agent PreviousPosition:H, CurrentPosition:V --> g = 48401, h = 1551, f = 49952, action: ('moveAndDrop', 'V')
agent PreviousPosition:AD, CurrentPosition:H --> g = 48101, h = 1551, f = 49652, action: ('moveAndDrop', 'H')
agent PreviousPosition:O, CurrentPosition:AD --> g = 47881, h = 1551, f = 49432, action: ('moveAndDrop', 'AD')
agent PreviousPosition:U, CurrentPosition:O --> g = 47811, h = 1551, f = 49362, action: ('moveAndDrop', 'O')
agent PreviousPosition:V, CurrentPosition:U --> g = 47701, h = 1551, f = 49252, action: ('moveAndDrop', 'U')
agent PreviousPosition:C, CurrentPosition:V --> g = 47541, h = 1551, f = 49092, action: ('moveAndDrop', 'V')
agent PreviousPosition:H, CurrentPosition:C --> g = 47321, h = 1551, f = 48872, action: ('moveAndDrop', 'C')
agent PreviousPosition:U, CurrentPosition:H --> g = 47181, h = 1551, f = 48732, action: ('moveAndDrop', 'H')
agent PreviousPosition:AD, CurrentPosition:U --> g = 46961, h = 1551, f = 48512, action: ('moveAndDrop', 'U')
agent PreviousPosition:E, CurrentPosition:AD --> g = 46821, h = 1551, f = 48372, action: ('moveAndDrop', 'AD')
agent PreviousPosition:AD, CurrentPosition:E --> g = 46651, h = 1551, f = 48202, action: ('moveAndDrop', 'E')
agent PreviousPosition:V, CurrentPosition:AD --> g = 46481, h = 1551, f = 48032, action: ('moveAndDrop', 'AD')
agent PreviousPosition:AC, CurrentPosition:V --> g = 46301, h = 1551, f = 47852, action: ('moveAndDrop', 'V')
agent PreviousPosition:AD, CurrentPosition:AC --> g = 46181, h = 1551, f = 47732, action: ('moveAndDrop', 'AC')
agent PreviousPosition:E, CurrentPosition:AD --> g = 45981, h = 1551, f = 47532, action: ('moveAndDrop', 'AD')
agent PreviousPosition:U, CurrentPosition:E --> g = 45811, h = 1551, f = 47362, action: ('moveAndDrop', 'E')
agent PreviousPosition:I, CurrentPosition:U --> g = 45641, h = 1551, f = 47192, action: ('moveAndDrop', 'U')
agent PreviousPosition:S, CurrentPosition:I --> g = 45581, h = 1611, f = 47192, action: ('moveAndDrop', 'I')
agent PreviousPosition:E, CurrentPosition:S --> g = 45425, h = 1719, f = 47144, action: ('moveAndDrop', 'S')
agent PreviousPosition:A, CurrentPosition:E --> g = 45317, h = 1755, f = 47072, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:A --> g = 45205, h = 1851, f = 47056, action: ('take', <package.Package instance at 0xf3547a0>)
agent PreviousPosition:A, CurrentPosition:A --> g = 45203, h = 1851, f = 47054, action: ('take', <package.Package instance at 0xe0e0c68>)
agent PreviousPosition:L, CurrentPosition:A --> g = 45201, h = 1851, f = 47052, action: ('moveAndDrop', 'A')
agent PreviousPosition:Q, CurrentPosition:L --> g = 45081, h = 1851, f = 46932, action: ('moveAndDrop', 'L')
agent PreviousPosition:Z, CurrentPosition:Q --> g = 45011, h = 1851, f = 46862, action: ('moveAndDrop', 'Q')
agent PreviousPosition:V, CurrentPosition:Z --> g = 44831, h = 1851, f = 46682, action: ('moveAndDrop', 'Z')
agent PreviousPosition:Q, CurrentPosition:V --> g = 44711, h = 1851, f = 46562, action: ('moveAndDrop', 'V')
agent PreviousPosition:I, CurrentPosition:Q --> g = 44551, h = 1851, f = 46402, action: ('moveAndDrop', 'Q')
agent PreviousPosition:H, CurrentPosition:I --> g = 44421, h = 1851, f = 46272, action: ('moveAndDrop', 'I')
agent PreviousPosition:A, CurrentPosition:H --> g = 44251, h = 1851, f = 46102, action: ('moveAndDrop', 'H')
agent PreviousPosition:Z, CurrentPosition:A --> g = 44121, h = 1851, f = 45972, action: ('moveAndDrop', 'A')
agent PreviousPosition:O, CurrentPosition:Z --> g = 43891, h = 1851, f = 45742, action: ('moveAndDrop', 'Z')
agent PreviousPosition:V, CurrentPosition:O --> g = 43721, h = 1851, f = 45572, action: ('moveAndDrop', 'O')
agent PreviousPosition:S, CurrentPosition:V --> g = 43571, h = 1851, f = 45422, action: ('moveAndDrop', 'V')
agent PreviousPosition:V, CurrentPosition:S --> g = 43391, h = 1851, f = 45242, action: ('moveAndDrop', 'S')
agent PreviousPosition:O, CurrentPosition:V --> g = 43211, h = 1851, f = 45062, action: ('moveAndDrop', 'V')
agent PreviousPosition:AC, CurrentPosition:O --> g = 43061, h = 1851, f = 44912, action: ('moveAndDrop', 'O')
agent PreviousPosition:U, CurrentPosition:AC --> g = 42891, h = 1851, f = 44742, action: ('moveAndDrop', 'AC')
agent PreviousPosition:AD, CurrentPosition:U --> g = 42711, h = 1851, f = 44562, action: ('moveAndDrop', 'U')
agent PreviousPosition:O, CurrentPosition:AD --> g = 42571, h = 1851, f = 44422, action: ('moveAndDrop', 'AD')
agent PreviousPosition:A, CurrentPosition:O --> g = 42501, h = 1851, f = 44352, action: ('moveAndDrop', 'O')
agent PreviousPosition:AD, CurrentPosition:A --> g = 42401, h = 1851, f = 44252, action: ('moveAndDrop', 'A')
agent PreviousPosition:Q, CurrentPosition:AD --> g = 42271, h = 1851, f = 44122, action: ('moveAndDrop', 'AD')
agent PreviousPosition:AD, CurrentPosition:Q --> g = 42191, h = 1851, f = 44042, action: ('moveAndDrop', 'Q')
agent PreviousPosition:L, CurrentPosition:AD --> g = 42111, h = 1851, f = 43962, action: ('moveAndDrop', 'AD')
agent PreviousPosition:I, CurrentPosition:L --> g = 42021, h = 1851, f = 43872, action: ('moveAndDrop', 'L')
agent PreviousPosition:O, CurrentPosition:I --> g = 41941, h = 1851, f = 43792, action: ('moveAndDrop', 'I')
agent PreviousPosition:L, CurrentPosition:O --> g = 41821, h = 1851, f = 43672, action: ('moveAndDrop', 'O')
agent PreviousPosition:O, CurrentPosition:L --> g = 41761, h = 1851, f = 43612, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:O --> g = 41701, h = 1851, f = 43552, action: ('moveAndDrop', 'O')
agent PreviousPosition:I, CurrentPosition:Q --> g = 41641, h = 1911, f = 43552, action: ('moveAndDrop', 'Q')
agent PreviousPosition:Z, CurrentPosition:I --> g = 41485, h = 1995, f = 43480, action: ('moveAndDrop', 'I')
agent PreviousPosition:Z, CurrentPosition:Z --> g = 41257, h = 2055, f = 43312, action: ('take', <package.Package instance at 0xf11d758>)
agent PreviousPosition:A, CurrentPosition:Z --> g = 41255, h = 2055, f = 43310, action: ('moveAndDrop', 'Z')
agent PreviousPosition:Q, CurrentPosition:A --> g = 41025, h = 2055, f = 43080, action: ('moveAndDrop', 'A')
agent PreviousPosition:O, CurrentPosition:Q --> g = 40955, h = 2055, f = 43010, action: ('moveAndDrop', 'Q')
agent PreviousPosition:L, CurrentPosition:O --> g = 40905, h = 2055, f = 42960, action: ('moveAndDrop', 'O')
agent PreviousPosition:Z, CurrentPosition:L --> g = 40845, h = 2055, f = 42900, action: ('moveAndDrop', 'L')
agent PreviousPosition:C, CurrentPosition:Z --> g = 40735, h = 2055, f = 42790, action: ('moveAndDrop', 'Z')
agent PreviousPosition:L, CurrentPosition:C --> g = 40495, h = 2055, f = 42550, action: ('moveAndDrop', 'C')
agent PreviousPosition:V, CurrentPosition:L --> g = 40365, h = 2055, f = 42420, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:V --> g = 40275, h = 2055, f = 42330, action: ('moveAndDrop', 'V')
agent PreviousPosition:A, CurrentPosition:L --> g = 40185, h = 2055, f = 42240, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:A --> g = 40065, h = 2055, f = 42120, action: ('moveAndDrop', 'A')
agent PreviousPosition:AD, CurrentPosition:Q --> g = 39995, h = 2055, f = 42050, action: ('moveAndDrop', 'Q')
agent PreviousPosition:L, CurrentPosition:AD --> g = 39915, h = 2055, f = 41970, action: ('moveAndDrop', 'AD')
agent PreviousPosition:V, CurrentPosition:L --> g = 39825, h = 2055, f = 41880, action: ('moveAndDrop', 'L')
agent PreviousPosition:AD, CurrentPosition:V --> g = 39735, h = 2055, f = 41790, action: ('moveAndDrop', 'V')
agent PreviousPosition:U, CurrentPosition:AD --> g = 39555, h = 2055, f = 41610, action: ('moveAndDrop', 'AD')
agent PreviousPosition:E, CurrentPosition:U --> g = 39415, h = 2055, f = 41470, action: ('moveAndDrop', 'U')
agent PreviousPosition:L, CurrentPosition:E --> g = 39245, h = 2055, f = 41300, action: ('moveAndDrop', 'E')
agent PreviousPosition:O, CurrentPosition:L --> g = 39085, h = 2055, f = 41140, action: ('moveAndDrop', 'L')
agent PreviousPosition:C, CurrentPosition:O --> g = 39025, h = 2055, f = 41080, action: ('moveAndDrop', 'O')
agent PreviousPosition:AD, CurrentPosition:C --> g = 38915, h = 2055, f = 40970, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:AD --> g = 38775, h = 2055, f = 40830, action: ('moveAndDrop', 'AD')
agent PreviousPosition:AC, CurrentPosition:A --> g = 38645, h = 2055, f = 40700, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:AC --> g = 38415, h = 2055, f = 40470, action: ('moveAndDrop', 'AC')
agent PreviousPosition:O, CurrentPosition:A --> g = 38185, h = 2055, f = 40240, action: ('moveAndDrop', 'A')
agent PreviousPosition:S, CurrentPosition:O --> g = 38085, h = 2055, f = 40140, action: ('moveAndDrop', 'O')
agent PreviousPosition:A, CurrentPosition:S --> g = 38015, h = 2055, f = 40070, action: ('moveAndDrop', 'S')
agent PreviousPosition:E, CurrentPosition:A --> g = 37965, h = 2055, f = 40020, action: ('moveAndDrop', 'A')
agent PreviousPosition:S, CurrentPosition:E --> g = 37885, h = 2055, f = 39940, action: ('moveAndDrop', 'E')
agent PreviousPosition:AD, CurrentPosition:S --> g = 37795, h = 2055, f = 39850, action: ('moveAndDrop', 'S')
agent PreviousPosition:S, CurrentPosition:AD --> g = 37695, h = 2055, f = 39750, action: ('moveAndDrop', 'AD')
agent PreviousPosition:V, CurrentPosition:S --> g = 37595, h = 2055, f = 39650, action: ('moveAndDrop', 'S')
agent PreviousPosition:S, CurrentPosition:V --> g = 37415, h = 2055, f = 39470, action: ('moveAndDrop', 'V')
agent PreviousPosition:C, CurrentPosition:S --> g = 37235, h = 2055, f = 39290, action: ('moveAndDrop', 'S')
agent PreviousPosition:Z, CurrentPosition:C --> g = 37175, h = 2055, f = 39230, action: ('moveAndDrop', 'C')
agent PreviousPosition:Z, CurrentPosition:Z --> g = 36887, h = 2343, f = 39230, action: ('take', <package.Package instance at 0xdcfb320>)
agent PreviousPosition:U, CurrentPosition:Z --> g = 36885, h = 2343, f = 39228, action: ('moveAndDrop', 'Z')
agent PreviousPosition:E, CurrentPosition:U --> g = 36705, h = 2343, f = 39048, action: ('moveAndDrop', 'U')
agent PreviousPosition:H, CurrentPosition:E --> g = 36535, h = 2343, f = 38878, action: ('moveAndDrop', 'E')
agent PreviousPosition:Q, CurrentPosition:H --> g = 36405, h = 2343, f = 38748, action: ('moveAndDrop', 'H')
agent PreviousPosition:V, CurrentPosition:Q --> g = 36245, h = 2343, f = 38588, action: ('moveAndDrop', 'Q')
agent PreviousPosition:O, CurrentPosition:V --> g = 36085, h = 2343, f = 38428, action: ('moveAndDrop', 'V')
agent PreviousPosition:A, CurrentPosition:O --> g = 35935, h = 2343, f = 38278, action: ('moveAndDrop', 'O')
agent PreviousPosition:V, CurrentPosition:A --> g = 35835, h = 2343, f = 38178, action: ('moveAndDrop', 'A')
agent PreviousPosition:L, CurrentPosition:V --> g = 35625, h = 2343, f = 37968, action: ('moveAndDrop', 'V')
agent PreviousPosition:AC, CurrentPosition:L --> g = 35535, h = 2343, f = 37878, action: ('moveAndDrop', 'L')
agent PreviousPosition:I, CurrentPosition:AC --> g = 35425, h = 2343, f = 37768, action: ('moveAndDrop', 'AC')
agent PreviousPosition:A, CurrentPosition:I --> g = 35235, h = 2343, f = 37578, action: ('moveAndDrop', 'I')
agent PreviousPosition:S, CurrentPosition:A --> g = 35115, h = 2343, f = 37458, action: ('moveAndDrop', 'A')
agent PreviousPosition:V, CurrentPosition:S --> g = 35065, h = 2343, f = 37408, action: ('moveAndDrop', 'S')
agent PreviousPosition:AC, CurrentPosition:V --> g = 34885, h = 2343, f = 37228, action: ('moveAndDrop', 'V')
agent PreviousPosition:Q, CurrentPosition:AC --> g = 34765, h = 2343, f = 37108, action: ('moveAndDrop', 'AC')
agent PreviousPosition:AC, CurrentPosition:Q --> g = 34585, h = 2343, f = 36928, action: ('moveAndDrop', 'Q')
agent PreviousPosition:U, CurrentPosition:AC --> g = 34405, h = 2343, f = 36748, action: ('moveAndDrop', 'AC')
agent PreviousPosition:E, CurrentPosition:U --> g = 34225, h = 2343, f = 36568, action: ('moveAndDrop', 'U')
agent PreviousPosition:C, CurrentPosition:E --> g = 34055, h = 2343, f = 36398, action: ('moveAndDrop', 'E')
agent PreviousPosition:V, CurrentPosition:C --> g = 33965, h = 2343, f = 36308, action: ('moveAndDrop', 'C')
agent PreviousPosition:L, CurrentPosition:V --> g = 33745, h = 2343, f = 36088, action: ('moveAndDrop', 'V')
agent PreviousPosition:A, CurrentPosition:L --> g = 33655, h = 2343, f = 35998, action: ('moveAndDrop', 'L')
agent PreviousPosition:V, CurrentPosition:A --> g = 33535, h = 2343, f = 35878, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:V --> g = 33325, h = 2343, f = 35668, action: ('moveAndDrop', 'V')
agent PreviousPosition:AD, CurrentPosition:E --> g = 33075, h = 2343, f = 35418, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:AD --> g = 32905, h = 2343, f = 35248, action: ('moveAndDrop', 'AD')
agent PreviousPosition:E, CurrentPosition:C --> g = 32765, h = 2343, f = 35108, action: ('moveAndDrop', 'C')
agent PreviousPosition:O, CurrentPosition:E --> g = 32675, h = 2343, f = 35018, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:O --> g = 32535, h = 2343, f = 34878, action: ('moveAndDrop', 'O')
agent PreviousPosition:A, CurrentPosition:C --> g = 32425, h = 2343, f = 34768, action: ('moveAndDrop', 'C')
agent PreviousPosition:L, CurrentPosition:A --> g = 32375, h = 2343, f = 34718, action: ('moveAndDrop', 'A')
agent PreviousPosition:Z, CurrentPosition:L --> g = 32255, h = 2343, f = 34598, action: ('moveAndDrop', 'L')
agent PreviousPosition:A, CurrentPosition:Z --> g = 32145, h = 2343, f = 34488, action: ('moveAndDrop', 'Z')
agent PreviousPosition:V, CurrentPosition:A --> g = 31915, h = 2343, f = 34258, action: ('moveAndDrop', 'A')
agent PreviousPosition:O, CurrentPosition:V --> g = 31705, h = 2343, f = 34048, action: ('moveAndDrop', 'V')
agent PreviousPosition:V, CurrentPosition:O --> g = 31555, h = 2343, f = 33898, action: ('moveAndDrop', 'O')
agent PreviousPosition:I, CurrentPosition:V --> g = 31405, h = 2343, f = 33748, action: ('moveAndDrop', 'V')
agent PreviousPosition:V, CurrentPosition:I --> g = 31235, h = 2343, f = 33578, action: ('moveAndDrop', 'I')
agent PreviousPosition:Q, CurrentPosition:V --> g = 31065, h = 2343, f = 33408, action: ('moveAndDrop', 'V')
agent PreviousPosition:V, CurrentPosition:Q --> g = 30905, h = 2343, f = 33248, action: ('moveAndDrop', 'Q')
agent PreviousPosition:U, CurrentPosition:V --> g = 30745, h = 2343, f = 33088, action: ('moveAndDrop', 'V')
agent PreviousPosition:H, CurrentPosition:U --> g = 30585, h = 2343, f = 32928, action: ('moveAndDrop', 'U')
agent PreviousPosition:Q, CurrentPosition:H --> g = 30365, h = 2343, f = 32708, action: ('moveAndDrop', 'H')
agent PreviousPosition:C, CurrentPosition:Q --> g = 30205, h = 2343, f = 32548, action: ('moveAndDrop', 'Q')
agent PreviousPosition:I, CurrentPosition:C --> g = 30125, h = 2343, f = 32468, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:I --> g = 29995, h = 2343, f = 32338, action: ('moveAndDrop', 'I')
agent PreviousPosition:AD, CurrentPosition:A --> g = 29875, h = 2343, f = 32218, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:AD --> g = 29745, h = 2343, f = 32088, action: ('moveAndDrop', 'AD')
agent PreviousPosition:Q, CurrentPosition:A --> g = 29615, h = 2343, f = 31958, action: ('moveAndDrop', 'A')
agent PreviousPosition:U, CurrentPosition:Q --> g = 29545, h = 2343, f = 31888, action: ('moveAndDrop', 'Q')
agent PreviousPosition:L, CurrentPosition:U --> g = 29425, h = 2343, f = 31768, action: ('moveAndDrop', 'U')
agent PreviousPosition:O, CurrentPosition:L --> g = 29355, h = 2343, f = 31698, action: ('moveAndDrop', 'L')
agent PreviousPosition:AD, CurrentPosition:O --> g = 29283, h = 2415, f = 31698, action: ('moveAndDrop', 'O')
agent PreviousPosition:I, CurrentPosition:AD --> g = 29199, h = 2451, f = 31650, action: ('moveAndDrop', 'AD')
agent PreviousPosition:S, CurrentPosition:I --> g = 29019, h = 2439, f = 31458, action: ('moveAndDrop', 'I')
agent PreviousPosition:I, CurrentPosition:S --> g = 28863, h = 2451, f = 31314, action: ('moveAndDrop', 'S')
agent PreviousPosition:U, CurrentPosition:I --> g = 28707, h = 2439, f = 31146, action: ('moveAndDrop', 'I')
agent PreviousPosition:O, CurrentPosition:U --> g = 28647, h = 2427, f = 31074, action: ('moveAndDrop', 'U')
agent PreviousPosition:E, CurrentPosition:O --> g = 28515, h = 2415, f = 30930, action: ('moveAndDrop', 'O')
agent PreviousPosition:A, CurrentPosition:E --> g = 28347, h = 2535, f = 30882, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:A --> g = 28235, h = 2583, f = 30818, action: ('take', <package.Package instance at 0x9c36a70>)
agent PreviousPosition:A, CurrentPosition:A --> g = 28233, h = 2583, f = 30816, action: ('take', <package.Package instance at 0x925bef0>)
agent PreviousPosition:O, CurrentPosition:A --> g = 28231, h = 2583, f = 30814, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:O --> g = 28131, h = 2583, f = 30714, action: ('moveAndDrop', 'O')
agent PreviousPosition:O, CurrentPosition:E --> g = 27991, h = 2583, f = 30574, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:O --> g = 27851, h = 2583, f = 30434, action: ('moveAndDrop', 'O')
agent PreviousPosition:E, CurrentPosition:E --> g = 27683, h = 2751, f = 30434, action: ('take', <package.Package instance at 0x7f11cb4e3290>)
agent PreviousPosition:I, CurrentPosition:E --> g = 27681, h = 2751, f = 30432, action: ('moveAndDrop', 'E')
agent PreviousPosition:H, CurrentPosition:I --> g = 27561, h = 2751, f = 30312, action: ('moveAndDrop', 'I')
agent PreviousPosition:O, CurrentPosition:H --> g = 27391, h = 2751, f = 30142, action: ('moveAndDrop', 'H')
agent PreviousPosition:A, CurrentPosition:O --> g = 27201, h = 2751, f = 29952, action: ('moveAndDrop', 'O')
agent PreviousPosition:Z, CurrentPosition:A --> g = 27101, h = 2751, f = 29852, action: ('moveAndDrop', 'A')
agent PreviousPosition:I, CurrentPosition:Z --> g = 26871, h = 2751, f = 29622, action: ('moveAndDrop', 'Z')
agent PreviousPosition:AD, CurrentPosition:I --> g = 26681, h = 2751, f = 29432, action: ('moveAndDrop', 'I')
agent PreviousPosition:V, CurrentPosition:AD --> g = 26531, h = 2751, f = 29282, action: ('moveAndDrop', 'AD')
agent PreviousPosition:Q, CurrentPosition:V --> g = 26351, h = 2751, f = 29102, action: ('moveAndDrop', 'V')
agent PreviousPosition:Z, CurrentPosition:Q --> g = 26191, h = 2751, f = 28942, action: ('moveAndDrop', 'Q')
agent PreviousPosition:V, CurrentPosition:Z --> g = 26011, h = 2751, f = 28762, action: ('moveAndDrop', 'Z')
agent PreviousPosition:AC, CurrentPosition:V --> g = 25891, h = 2751, f = 28642, action: ('moveAndDrop', 'V')
agent PreviousPosition:U, CurrentPosition:AC --> g = 25771, h = 2751, f = 28522, action: ('moveAndDrop', 'AC')
agent PreviousPosition:Z, CurrentPosition:U --> g = 25591, h = 2751, f = 28342, action: ('moveAndDrop', 'U')
agent PreviousPosition:V, CurrentPosition:Z --> g = 25411, h = 2751, f = 28162, action: ('moveAndDrop', 'Z')
agent PreviousPosition:E, CurrentPosition:V --> g = 25291, h = 2751, f = 28042, action: ('moveAndDrop', 'V')
agent PreviousPosition:AC, CurrentPosition:E --> g = 25041, h = 2751, f = 27792, action: ('moveAndDrop', 'E')
agent PreviousPosition:V, CurrentPosition:AC --> g = 24771, h = 2751, f = 27522, action: ('moveAndDrop', 'AC')
agent PreviousPosition:AD, CurrentPosition:V --> g = 24651, h = 2751, f = 27402, action: ('moveAndDrop', 'V')
agent PreviousPosition:S, CurrentPosition:AD --> g = 24471, h = 2751, f = 27222, action: ('moveAndDrop', 'AD')
agent PreviousPosition:AD, CurrentPosition:S --> g = 24371, h = 2751, f = 27122, action: ('moveAndDrop', 'S')
agent PreviousPosition:E, CurrentPosition:AD --> g = 24271, h = 2751, f = 27022, action: ('moveAndDrop', 'AD')
agent PreviousPosition:H, CurrentPosition:E --> g = 24101, h = 2751, f = 26852, action: ('moveAndDrop', 'E')
agent PreviousPosition:Z, CurrentPosition:H --> g = 23971, h = 2751, f = 26722, action: ('moveAndDrop', 'H')
agent PreviousPosition:AC, CurrentPosition:Z --> g = 23651, h = 2751, f = 26402, action: ('moveAndDrop', 'Z')
agent PreviousPosition:H, CurrentPosition:AC --> g = 23551, h = 2751, f = 26302, action: ('moveAndDrop', 'AC')
agent PreviousPosition:U, CurrentPosition:H --> g = 23231, h = 2751, f = 25982, action: ('moveAndDrop', 'H')
agent PreviousPosition:C, CurrentPosition:U --> g = 23011, h = 2751, f = 25762, action: ('moveAndDrop', 'U')
agent PreviousPosition:L, CurrentPosition:C --> g = 22831, h = 2751, f = 25582, action: ('moveAndDrop', 'C')
agent PreviousPosition:V, CurrentPosition:L --> g = 22701, h = 2751, f = 25452, action: ('moveAndDrop', 'L')
agent PreviousPosition:C, CurrentPosition:V --> g = 22611, h = 2751, f = 25362, action: ('moveAndDrop', 'V')
agent PreviousPosition:U, CurrentPosition:C --> g = 22391, h = 2751, f = 25142, action: ('moveAndDrop', 'C')
agent PreviousPosition:L, CurrentPosition:U --> g = 22211, h = 2751, f = 24962, action: ('moveAndDrop', 'U')
agent PreviousPosition:O, CurrentPosition:L --> g = 22141, h = 2751, f = 24892, action: ('moveAndDrop', 'L')
agent PreviousPosition:H, CurrentPosition:O --> g = 22081, h = 2751, f = 24832, action: ('moveAndDrop', 'O')
agent PreviousPosition:A, CurrentPosition:H --> g = 21891, h = 2751, f = 24642, action: ('moveAndDrop', 'H')
agent PreviousPosition:AD, CurrentPosition:A --> g = 21761, h = 2751, f = 24512, action: ('moveAndDrop', 'A')
agent PreviousPosition:AD, CurrentPosition:AD --> g = 21605, h = 2907, f = 24512, action: ('take', <package.Package instance at 0x90f6248>)
agent PreviousPosition:C, CurrentPosition:AD --> g = 21603, h = 2907, f = 24510, action: ('moveAndDrop', 'AD')
agent PreviousPosition:Q, CurrentPosition:C --> g = 21463, h = 2907, f = 24370, action: ('moveAndDrop', 'C')
agent PreviousPosition:U, CurrentPosition:Q --> g = 21383, h = 2907, f = 24290, action: ('moveAndDrop', 'Q')
agent PreviousPosition:AD, CurrentPosition:U --> g = 21263, h = 2907, f = 24170, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:AD --> g = 21123, h = 2907, f = 24030, action: ('moveAndDrop', 'AD')
agent PreviousPosition:O, CurrentPosition:U --> g = 20983, h = 2907, f = 23890, action: ('moveAndDrop', 'U')
agent PreviousPosition:AD, CurrentPosition:O --> g = 20840, h = 3050, f = 23890, action: ('moveAndDrop', 'O')
agent PreviousPosition:V, CurrentPosition:AD --> g = 20749, h = 3089, f = 23838, action: ('moveAndDrop', 'AD')
agent PreviousPosition:L, CurrentPosition:V --> g = 20515, h = 3115, f = 23630, action: ('moveAndDrop', 'V')
agent PreviousPosition:L, CurrentPosition:L --> g = 20380, h = 3106, f = 23486, action: ('take', <package.Package instance at 0x83776c8>)
agent PreviousPosition:U, CurrentPosition:L --> g = 20377, h = 3106, f = 23483, action: ('moveAndDrop', 'L')
agent PreviousPosition:I, CurrentPosition:U --> g = 20293, h = 3190, f = 23483, action: ('moveAndDrop', 'U')
agent PreviousPosition:E, CurrentPosition:I --> g = 20233, h = 3202, f = 23435, action: ('moveAndDrop', 'I')
agent PreviousPosition:L, CurrentPosition:E --> g = 20089, h = 3298, f = 23387, action: ('moveAndDrop', 'E')
agent PreviousPosition:L, CurrentPosition:L --> g = 19865, h = 3298, f = 23163, action: ('take', <package.Package instance at 0x7f11cbab8638>)
agent PreviousPosition:O, CurrentPosition:L --> g = 19863, h = 3298, f = 23161, action: ('moveAndDrop', 'L')
agent PreviousPosition:AD, CurrentPosition:O --> g = 19791, h = 3370, f = 23161, action: ('moveAndDrop', 'O')
agent PreviousPosition:AD, CurrentPosition:AD --> g = 19693, h = 3490, f = 23183, action: ('take', <package.Package instance at 0x84a6050>)
agent PreviousPosition:S, CurrentPosition:AD --> g = 19691, h = 3490, f = 23181, action: ('moveAndDrop', 'AD')
agent PreviousPosition:L, CurrentPosition:S --> g = 19571, h = 3490, f = 23061, action: ('moveAndDrop', 'S')
