agent PreviousPosition:A, CurrentPosition:B --> g = 30054, h = 0, f = 30054, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:B --> g = 16902, h = 849, f = 17751, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:D --> g = 16832, h = 849, f = 17681, action: ('moveAndDrop', 'D')
agent PreviousPosition:C, CurrentPosition:E --> g = 16812, h = 849, f = 17661, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:C --> g = 16752, h = 849, f = 17601, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:B --> g = 16722, h = 849, f = 17571, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 16702, h = 849, f = 17551, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 16592, h = 849, f = 17441, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:B --> g = 16502, h = 849, f = 17351, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:D --> g = 16432, h = 849, f = 17281, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:B --> g = 16362, h = 849, f = 17211, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:A --> g = 16342, h = 849, f = 17191, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:D --> g = 16252, h = 849, f = 17101, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:B --> g = 16182, h = 849, f = 17031, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 16092, h = 849, f = 16941, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 16002, h = 849, f = 16851, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:A --> g = 15982, h = 849, f = 16831, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:D --> g = 15892, h = 849, f = 16741, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:A --> g = 15802, h = 849, f = 16651, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:E --> g = 15692, h = 849, f = 16541, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:C --> g = 15632, h = 849, f = 16481, action: ('moveAndDrop', 'C')
agent PreviousPosition:B, CurrentPosition:D --> g = 15592, h = 849, f = 16441, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:B --> g = 15522, h = 849, f = 16371, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 15502, h = 849, f = 16351, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 15482, h = 849, f = 16331, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:A --> g = 15462, h = 849, f = 16311, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:D --> g = 15372, h = 849, f = 16221, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:A --> g = 15282, h = 849, f = 16131, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:B --> g = 15258, h = 893, f = 16151, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:C --> g = 15222, h = 959, f = 16181, action: ('take', <package.Package instance at 0x293b5f0>)
agent PreviousPosition:C, CurrentPosition:C --> g = 15221, h = 959, f = 16180, action: ('take', <package.Package instance at 0x293c638>)
agent PreviousPosition:D, CurrentPosition:C --> g = 15220, h = 959, f = 16179, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:D --> g = 15180, h = 959, f = 16139, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:C --> g = 15140, h = 959, f = 16099, action: ('moveAndDrop', 'C')
agent PreviousPosition:B, CurrentPosition:A --> g = 15090, h = 959, f = 16049, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 15070, h = 959, f = 16029, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:A --> g = 15050, h = 959, f = 16009, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:C --> g = 15000, h = 959, f = 15959, action: ('moveAndDrop', 'C')
agent PreviousPosition:B, CurrentPosition:D --> g = 14960, h = 959, f = 15919, action: ('moveAndDrop', 'D')
agent PreviousPosition:C, CurrentPosition:B --> g = 14890, h = 959, f = 15849, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:C --> g = 14860, h = 959, f = 15819, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:A --> g = 14810, h = 959, f = 15769, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 14700, h = 959, f = 15659, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 14590, h = 959, f = 15549, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 14480, h = 959, f = 15439, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 14390, h = 959, f = 15349, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:A --> g = 14370, h = 959, f = 15329, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:D --> g = 14280, h = 959, f = 15239, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:B --> g = 14210, h = 959, f = 15169, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:A --> g = 14190, h = 959, f = 15149, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:D --> g = 14100, h = 959, f = 15059, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:E --> g = 14080, h = 959, f = 15039, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:D --> g = 14060, h = 959, f = 15019, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:B --> g = 13990, h = 959, f = 14949, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:D --> g = 13920, h = 959, f = 14879, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:C --> g = 13880, h = 959, f = 14839, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:D --> g = 13840, h = 959, f = 14799, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:E --> g = 13820, h = 959, f = 14779, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:D --> g = 13800, h = 959, f = 14759, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:B --> g = 13730, h = 959, f = 14689, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 13640, h = 959, f = 14599, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 13550, h = 959, f = 14509, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:E --> g = 13460, h = 959, f = 14419, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:C --> g = 13400, h = 959, f = 14359, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:A --> g = 13350, h = 959, f = 14309, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 13240, h = 959, f = 14199, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 13130, h = 959, f = 14089, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 13110, h = 959, f = 14069, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:A --> g = 13090, h = 959, f = 14049, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:C --> g = 13040, h = 959, f = 13999, action: ('moveAndDrop', 'C')
agent PreviousPosition:B, CurrentPosition:D --> g = 13000, h = 959, f = 13959, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:B --> g = 12930, h = 959, f = 13889, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 12910, h = 959, f = 13869, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:E --> g = 12800, h = 959, f = 13759, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:C --> g = 12728, h = 1091, f = 13819, action: ('take', <package.Package instance at 0x271edd0>)
agent PreviousPosition:C, CurrentPosition:C --> g = 12727, h = 1091, f = 13818, action: ('take', <package.Package instance at 0x2731050>)
agent PreviousPosition:A, CurrentPosition:C --> g = 12726, h = 1091, f = 13817, action: ('moveAndDrop', 'C')
agent PreviousPosition:B, CurrentPosition:A --> g = 12676, h = 1091, f = 13767, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 12656, h = 1091, f = 13747, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 12636, h = 1091, f = 13727, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:B --> g = 12616, h = 1091, f = 13707, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:D --> g = 12546, h = 1091, f = 13637, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:A --> g = 12456, h = 1091, f = 13547, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 12436, h = 1091, f = 13527, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 12416, h = 1091, f = 13507, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:E --> g = 12306, h = 1091, f = 13397, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:C --> g = 12246, h = 1091, f = 13337, action: ('moveAndDrop', 'C')
agent PreviousPosition:D, CurrentPosition:A --> g = 12196, h = 1091, f = 13287, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:D --> g = 12106, h = 1091, f = 13197, action: ('moveAndDrop', 'D')
agent PreviousPosition:C, CurrentPosition:E --> g = 12086, h = 1091, f = 13177, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:C --> g = 12026, h = 1091, f = 13117, action: ('moveAndDrop', 'C')
agent PreviousPosition:D, CurrentPosition:A --> g = 11976, h = 1091, f = 13067, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:D --> g = 11886, h = 1091, f = 12977, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:E --> g = 11866, h = 1091, f = 12957, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:B --> g = 11776, h = 1091, f = 12867, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:D --> g = 11706, h = 1091, f = 12797, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:E --> g = 11686, h = 1091, f = 12777, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:B --> g = 11596, h = 1091, f = 12687, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:D --> g = 11526, h = 1091, f = 12617, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:B --> g = 11442, h = 1175, f = 12617, action: ('take', <package.Package instance at 0x2624710>)
agent PreviousPosition:D, CurrentPosition:B --> g = 11440, h = 1175, f = 12615, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:D --> g = 11370, h = 1175, f = 12545, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:E --> g = 11350, h = 1175, f = 12525, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:A --> g = 11240, h = 1175, f = 12415, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:D --> g = 11150, h = 1175, f = 12325, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:E --> g = 11130, h = 1175, f = 12305, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 11020, h = 1175, f = 12195, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:E --> g = 10910, h = 1175, f = 12085, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:D --> g = 10890, h = 1175, f = 12065, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:A --> g = 10800, h = 1175, f = 11975, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:B --> g = 10772, h = 1223, f = 11995, action: ('take', <package.Package instance at 0x262ecb0>)
agent PreviousPosition:B, CurrentPosition:B --> g = 10770, h = 1223, f = 11993, action: ('take', <package.Package instance at 0x2634cf8>)
agent PreviousPosition:C, CurrentPosition:B --> g = 10768, h = 1223, f = 11991, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:C --> g = 10738, h = 1223, f = 11961, action: ('moveAndDrop', 'C')
agent PreviousPosition:D, CurrentPosition:A --> g = 10688, h = 1223, f = 11911, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:D --> g = 10598, h = 1223, f = 11821, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:A --> g = 10508, h = 1223, f = 11731, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:B --> g = 10480, h = 1271, f = 11751, action: ('take', <package.Package instance at 0x2611368>)
agent PreviousPosition:B, CurrentPosition:B --> g = 10478, h = 1271, f = 11749, action: ('take', <package.Package instance at 0x2525950>)
agent PreviousPosition:A, CurrentPosition:B --> g = 10476, h = 1271, f = 11747, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 10456, h = 1271, f = 11727, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:B --> g = 10428, h = 1319, f = 11747, action: ('take', <package.Package instance at 0x251f170>)
agent PreviousPosition:B, CurrentPosition:B --> g = 10426, h = 1319, f = 11745, action: ('take', <package.Package instance at 0x261e5f0>)
agent PreviousPosition:E, CurrentPosition:B --> g = 10424, h = 1319, f = 11743, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 10334, h = 1319, f = 11653, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 10244, h = 1319, f = 11563, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 10220, h = 1343, f = 11563, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 10088, h = 1427, f = 11515, action: ('take', <package.Package instance at 0x2617e60>)
agent PreviousPosition:A, CurrentPosition:E --> g = 10086, h = 1427, f = 11513, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 9976, h = 1427, f = 11403, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 9952, h = 1451, f = 11403, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:E --> g = 9826, h = 1667, f = 11493, action: ('take', <package.Package instance at 0x253f830>)
agent PreviousPosition:B, CurrentPosition:E --> g = 9824, h = 1667, f = 11491, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:B --> g = 9698, h = 1667, f = 11365, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:C --> g = 9656, h = 1667, f = 11323, action: ('moveAndDrop', 'C')
agent PreviousPosition:B, CurrentPosition:B --> g = 9614, h = 1667, f = 11281, action: ('take', <package.Package instance at 0x250e5a8>)
agent PreviousPosition:B, CurrentPosition:B --> g = 9612, h = 1667, f = 11279, action: ('take', <package.Package instance at 0x250a5f0>)
agent PreviousPosition:E, CurrentPosition:B --> g = 9610, h = 1667, f = 11277, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:E --> g = 9502, h = 1775, f = 11277, action: ('take', <package.Package instance at 0x251c638>)
agent PreviousPosition:A, CurrentPosition:E --> g = 9500, h = 1775, f = 11275, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 9390, h = 1775, f = 11165, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 9370, h = 1775, f = 11145, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:E --> g = 9280, h = 1775, f = 11055, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:D --> g = 9252, h = 1823, f = 11075, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:B --> g = 9154, h = 1991, f = 11145, action: ('take', <package.Package instance at 0x250a3f8>)
agent PreviousPosition:B, CurrentPosition:B --> g = 9152, h = 1991, f = 11143, action: ('take', <package.Package instance at 0x251d5f0>)
agent PreviousPosition:A, CurrentPosition:B --> g = 9150, h = 1991, f = 11141, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:A --> g = 9126, h = 2015, f = 11141, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:C --> g = 9066, h = 2027, f = 11093, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:E --> g = 8994, h = 2099, f = 11093, action: ('take', <package.Package instance at 0x250f5f0>)
agent PreviousPosition:A, CurrentPosition:E --> g = 8992, h = 2099, f = 11091, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:A --> g = 8882, h = 2099, f = 10981, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:D --> g = 8792, h = 2099, f = 10891, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:C --> g = 8752, h = 2099, f = 10851, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:B --> g = 8707, h = 2144, f = 10851, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:A --> g = 8677, h = 2174, f = 10851, action: ('take', <package.Package instance at 0x240a170>)
agent PreviousPosition:D, CurrentPosition:A --> g = 8672, h = 2174, f = 10846, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:D --> g = 8582, h = 2174, f = 10756, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:A --> g = 8492, h = 2174, f = 10666, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:D --> g = 8402, h = 2174, f = 10576, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:B --> g = 8332, h = 2174, f = 10506, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:E --> g = 8242, h = 2174, f = 10416, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:D --> g = 8222, h = 2174, f = 10396, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:E --> g = 8202, h = 2174, f = 10376, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:D --> g = 8182, h = 2174, f = 10356, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:E --> g = 8162, h = 2174, f = 10336, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 8052, h = 2174, f = 10226, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:B --> g = 8028, h = 2198, f = 10226, action: ('take', <package.Package instance at 0x2410bd8>)
agent PreviousPosition:A, CurrentPosition:B --> g = 8026, h = 2198, f = 10224, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:A --> g = 7996, h = 2228, f = 10224, action: ('take', <package.Package instance at 0x240c878>)
agent PreviousPosition:C, CurrentPosition:A --> g = 7991, h = 2228, f = 10219, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:C --> g = 7941, h = 2228, f = 10169, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:E --> g = 7875, h = 2294, f = 10169, action: ('take', <package.Package instance at 0x2410830>)
agent PreviousPosition:C, CurrentPosition:E --> g = 7874, h = 2294, f = 10168, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:C --> g = 7814, h = 2294, f = 10108, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:B --> g = 7784, h = 2294, f = 10078, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:E --> g = 7694, h = 2294, f = 9988, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:D --> g = 7674, h = 2294, f = 9968, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:A --> g = 7584, h = 2294, f = 9878, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 7463, h = 2415, f = 9878, action: ('take', <package.Package instance at 0x23f9560>)
agent PreviousPosition:D, CurrentPosition:E --> g = 7462, h = 2415, f = 9877, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:D --> g = 7434, h = 2443, f = 9877, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:A --> g = 7308, h = 2569, f = 9877, action: ('take', <package.Package instance at 0x2315908>)
agent PreviousPosition:E, CurrentPosition:A --> g = 7304, h = 2569, f = 9873, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 7194, h = 2569, f = 9763, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:A --> g = 7084, h = 2569, f = 9653, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:C --> g = 7034, h = 2569, f = 9603, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:B --> g = 7004, h = 2569, f = 9573, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:A --> g = 6978, h = 2615, f = 9593, action: ('take', <package.Package instance at 0x22f2098>)
agent PreviousPosition:E, CurrentPosition:A --> g = 6976, h = 2615, f = 9591, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 6855, h = 2692, f = 9547, action: ('take', <package.Package instance at 0x230fb48>)
agent PreviousPosition:B, CurrentPosition:E --> g = 6854, h = 2692, f = 9546, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 6764, h = 2692, f = 9456, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:A --> g = 6736, h = 2740, f = 9476, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:D --> g = 6610, h = 2860, f = 9470, action: ('take', <package.Package instance at 0x22ec1b8>)
agent PreviousPosition:D, CurrentPosition:D --> g = 6608, h = 2860, f = 9468, action: ('take', <package.Package instance at 0x2302f38>)
agent PreviousPosition:C, CurrentPosition:D --> g = 6606, h = 2860, f = 9466, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:C --> g = 6566, h = 2860, f = 9426, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:A --> g = 6516, h = 2860, f = 9376, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:C --> g = 6456, h = 2970, f = 9426, action: ('moveAndDrop', 'C')
agent PreviousPosition:D, CurrentPosition:D --> g = 6408, h = 3058, f = 9466, action: ('take', <package.Package instance at 0x21fe6c8>)
agent PreviousPosition:D, CurrentPosition:D --> g = 6407, h = 3058, f = 9465, action: ('take', <package.Package instance at 0x22ea758>)
agent PreviousPosition:B, CurrentPosition:D --> g = 6406, h = 3058, f = 9464, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:B --> g = 6336, h = 3058, f = 9394, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:A --> g = 6312, h = 3082, f = 9394, action: ('take', <package.Package instance at 0x2201680>)
agent PreviousPosition:C, CurrentPosition:A --> g = 6310, h = 3082, f = 9392, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:C --> g = 6260, h = 3082, f = 9342, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:D --> g = 6220, h = 3082, f = 9302, action: ('moveAndDrop', 'D')
agent PreviousPosition:C, CurrentPosition:E --> g = 6200, h = 3082, f = 9282, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:C --> g = 6140, h = 3082, f = 9222, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:D --> g = 6100, h = 3082, f = 9182, action: ('moveAndDrop', 'D')
agent PreviousPosition:C, CurrentPosition:A --> g = 6010, h = 3082, f = 9092, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:C --> g = 5960, h = 3082, f = 9042, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:D --> g = 5920, h = 3082, f = 9002, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:C --> g = 5880, h = 3082, f = 8962, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:B --> g = 5850, h = 3082, f = 8932, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:A --> g = 5830, h = 3082, f = 8912, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:C --> g = 5770, h = 3192, f = 8962, action: ('take', <package.Package instance at 0x21c95a8>)
agent PreviousPosition:C, CurrentPosition:C --> g = 5769, h = 3192, f = 8961, action: ('take', <package.Package instance at 0x21cf7a0>)
agent PreviousPosition:A, CurrentPosition:C --> g = 5768, h = 3192, f = 8960, action: ('moveAndDrop', 'C')
agent PreviousPosition:B, CurrentPosition:A --> g = 5718, h = 3192, f = 8910, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:B --> g = 5698, h = 3192, f = 8890, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:D --> g = 5628, h = 3192, f = 8820, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:E --> g = 5608, h = 3192, f = 8800, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 5498, h = 3192, f = 8690, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:E --> g = 5388, h = 3192, f = 8580, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:D --> g = 5366, h = 3214, f = 8580, action: ('take', <package.Package instance at 0x21d59e0>)
agent PreviousPosition:E, CurrentPosition:D --> g = 5365, h = 3214, f = 8579, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:E --> g = 5345, h = 3214, f = 8559, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:D --> g = 5325, h = 3214, f = 8539, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:B --> g = 5255, h = 3214, f = 8469, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:D --> g = 5185, h = 3214, f = 8399, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:B --> g = 5115, h = 3214, f = 8329, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 5095, h = 3214, f = 8309, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 5075, h = 3214, f = 8289, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:E --> g = 4976, h = 3313, f = 8289, action: ('take', <package.Package instance at 0x20dabd8>)
agent PreviousPosition:C, CurrentPosition:E --> g = 4975, h = 3313, f = 8288, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:C --> g = 4915, h = 3313, f = 8228, action: ('moveAndDrop', 'C')
