agent PreviousPosition:B, CurrentPosition:A --> g = 79021, h = 0, f = 79021, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 59165, h = 1668, f = 60833, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 59075, h = 1668, f = 60743, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 59025, h = 1668, f = 60693, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 58975, h = 1668, f = 60643, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 58925, h = 1668, f = 60593, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 58875, h = 1668, f = 60543, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:B --> g = 58825, h = 1668, f = 60493, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:F --> g = 58725, h = 1668, f = 60393, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 58645, h = 1668, f = 60313, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:A --> g = 58555, h = 1668, f = 60223, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 58447, h = 1776, f = 60223, action: ('take', <package.Package instance at 0x4b9a290>)
agent PreviousPosition:E, CurrentPosition:F --> g = 58445, h = 1776, f = 60221, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 58365, h = 1776, f = 60141, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 58285, h = 1776, f = 60061, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:B --> g = 58185, h = 1776, f = 59961, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 58085, h = 1776, f = 59861, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 57985, h = 1776, f = 59761, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 57885, h = 1776, f = 59661, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 57795, h = 1776, f = 59571, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 57745, h = 1776, f = 59521, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 57645, h = 1776, f = 59421, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 57565, h = 1776, f = 59341, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:B --> g = 57465, h = 1776, f = 59241, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 57365, h = 1776, f = 59141, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 57265, h = 1776, f = 59041, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 57215, h = 1776, f = 58991, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 57125, h = 1776, f = 58901, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:A --> g = 57035, h = 1776, f = 58811, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:F --> g = 56945, h = 1776, f = 58721, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:A --> g = 56855, h = 1776, f = 58631, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 56805, h = 1776, f = 58581, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 56755, h = 1776, f = 58531, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 56665, h = 1776, f = 58441, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:A --> g = 56575, h = 1776, f = 58351, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:F --> g = 56485, h = 1776, f = 58261, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:A --> g = 56395, h = 1776, f = 58171, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:F --> g = 56305, h = 1776, f = 58081, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:A --> g = 56215, h = 1776, f = 57991, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 56165, h = 1776, f = 57941, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 56065, h = 1776, f = 57841, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 55969, h = 1872, f = 57841, action: ('take', <package.Package instance at 0x49f53f8>)
agent PreviousPosition:E, CurrentPosition:F --> g = 55967, h = 1872, f = 57839, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 55887, h = 1872, f = 57759, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 55797, h = 1872, f = 57669, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 55707, h = 1872, f = 57579, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 55607, h = 1872, f = 57479, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 55507, h = 1872, f = 57379, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:F --> g = 55427, h = 1872, f = 57299, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:A --> g = 55337, h = 1872, f = 57209, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 55229, h = 1980, f = 57209, action: ('take', <package.Package instance at 0x49e13f8>)
agent PreviousPosition:B, CurrentPosition:F --> g = 55227, h = 1980, f = 57207, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:B --> g = 55127, h = 1980, f = 57107, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:F --> g = 55027, h = 1980, f = 57007, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 54947, h = 1980, f = 56927, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 54857, h = 1980, f = 56837, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 54807, h = 1980, f = 56787, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 54757, h = 1980, f = 56737, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 54667, h = 1980, f = 56647, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:E --> g = 54587, h = 1980, f = 56567, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 54487, h = 1980, f = 56467, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 54437, h = 1980, f = 56417, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 54387, h = 1980, f = 56367, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 54287, h = 1980, f = 56267, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 54187, h = 1980, f = 56167, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 54087, h = 1980, f = 56067, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:F --> g = 54007, h = 1980, f = 55987, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:A --> g = 53917, h = 1980, f = 55897, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 53867, h = 1980, f = 55847, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 53767, h = 1980, f = 55747, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 53687, h = 1980, f = 55667, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 53607, h = 1980, f = 55587, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 53517, h = 1980, f = 55497, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 53427, h = 1980, f = 55407, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 53327, h = 1980, f = 55307, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 53207, h = 2100, f = 55307, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 53095, h = 2196, f = 55291, action: ('take', <package.Package instance at 0x46e8170>)
agent PreviousPosition:E, CurrentPosition:F --> g = 53093, h = 2196, f = 55289, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 52997, h = 2196, f = 55193, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 52901, h = 2196, f = 55097, action: ('take', <package.Package instance at 0x46e67e8>)
agent PreviousPosition:E, CurrentPosition:F --> g = 52899, h = 2196, f = 55095, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 52819, h = 2196, f = 55015, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 52729, h = 2196, f = 54925, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 52639, h = 2196, f = 54835, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 52559, h = 2196, f = 54755, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 52479, h = 2196, f = 54675, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 52399, h = 2196, f = 54595, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 52319, h = 2196, f = 54515, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 52229, h = 2196, f = 54425, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 52139, h = 2196, f = 54335, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 52049, h = 2196, f = 54245, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 51959, h = 2196, f = 54155, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 51863, h = 2292, f = 54155, action: ('take', <package.Package instance at 0x454e7e8>)
agent PreviousPosition:B, CurrentPosition:F --> g = 51861, h = 2292, f = 54153, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:B --> g = 51761, h = 2292, f = 54053, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 51661, h = 2292, f = 53953, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 51565, h = 2388, f = 53953, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:B --> g = 51445, h = 2412, f = 53857, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 51375, h = 2460, f = 53835, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 51249, h = 2508, f = 53757, action: ('take', <package.Package instance at 0x45459e0>)
agent PreviousPosition:F, CurrentPosition:F --> g = 51247, h = 2508, f = 53755, action: ('take', <package.Package instance at 0x4547dd0>)
agent PreviousPosition:B, CurrentPosition:F --> g = 51245, h = 2508, f = 53753, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:B --> g = 51145, h = 2508, f = 53653, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 51085, h = 2568, f = 53653, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 50959, h = 2736, f = 53695, action: ('take', <package.Package instance at 0x45347a0>)
agent PreviousPosition:F, CurrentPosition:F --> g = 50957, h = 2736, f = 53693, action: ('take', <package.Package instance at 0x4544fc8>)
agent PreviousPosition:A, CurrentPosition:F --> g = 50955, h = 2736, f = 53691, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:A --> g = 50865, h = 2736, f = 53601, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 50815, h = 2736, f = 53551, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 50765, h = 2736, f = 53501, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:B --> g = 50705, h = 2796, f = 53501, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:F --> g = 50585, h = 2844, f = 53429, action: ('take', <package.Package instance at 0x45283f8>)
agent PreviousPosition:A, CurrentPosition:F --> g = 50583, h = 2844, f = 53427, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:A --> g = 50493, h = 2844, f = 53337, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 50433, h = 2904, f = 53337, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 50313, h = 2952, f = 53265, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 50201, h = 3048, f = 53249, action: ('take', <package.Package instance at 0x451b7e8>)
agent PreviousPosition:F, CurrentPosition:F --> g = 50199, h = 3048, f = 53247, action: ('take', <package.Package instance at 0x4527fc8>)
agent PreviousPosition:E, CurrentPosition:F --> g = 50197, h = 3048, f = 53245, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 50117, h = 3048, f = 53165, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 50037, h = 3048, f = 53085, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:B --> g = 49937, h = 3048, f = 52985, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 49867, h = 3168, f = 53035, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 49741, h = 3288, f = 53029, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 49629, h = 3288, f = 52917, action: ('take', <package.Package instance at 0x43ae7e8>)
agent PreviousPosition:F, CurrentPosition:F --> g = 49627, h = 3288, f = 52915, action: ('take', <package.Package instance at 0x43b5fc8>)
agent PreviousPosition:E, CurrentPosition:F --> g = 49625, h = 3288, f = 52913, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:E --> g = 49545, h = 3288, f = 52833, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 49445, h = 3288, f = 52733, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 49325, h = 3408, f = 52733, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 49229, h = 3408, f = 52637, action: ('take', <package.Package instance at 0x43ab7e8>)
agent PreviousPosition:E, CurrentPosition:F --> g = 49227, h = 3408, f = 52635, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 49147, h = 3408, f = 52555, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 49067, h = 3408, f = 52475, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 48987, h = 3408, f = 52395, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 48891, h = 3504, f = 52395, action: ('take', <package.Package instance at 0x439d7e8>)
agent PreviousPosition:B, CurrentPosition:F --> g = 48889, h = 3504, f = 52393, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:B --> g = 48789, h = 3504, f = 52293, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:F --> g = 48689, h = 3504, f = 52193, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 48609, h = 3504, f = 52113, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:A --> g = 48519, h = 3504, f = 52023, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 48429, h = 3504, f = 51933, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 48349, h = 3504, f = 51853, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 48250, h = 3603, f = 51853, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:B --> g = 48190, h = 3669, f = 51859, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:F --> g = 48070, h = 3691, f = 51761, action: ('take', <package.Package instance at 0x4213998>)
agent PreviousPosition:F, CurrentPosition:F --> g = 48069, h = 3691, f = 51760, action: ('take', <package.Package instance at 0x437cdd0>)
agent PreviousPosition:A, CurrentPosition:F --> g = 48068, h = 3691, f = 51759, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 47978, h = 3691, f = 51669, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 47888, h = 3691, f = 51579, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 47788, h = 3691, f = 51479, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 47688, h = 3691, f = 51379, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 47598, h = 3691, f = 51289, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:B --> g = 47548, h = 3691, f = 51239, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:F --> g = 47448, h = 3691, f = 51139, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:A --> g = 47358, h = 3691, f = 51049, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 47308, h = 3691, f = 50999, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 47258, h = 3691, f = 50949, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 47203, h = 3746, f = 50949, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 47093, h = 3790, f = 50883, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 47005, h = 3790, f = 50795, action: ('take', <package.Package instance at 0x41ecd88>)
agent PreviousPosition:A, CurrentPosition:F --> g = 47004, h = 3886, f = 50890, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 46914, h = 3886, f = 50800, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 46824, h = 3886, f = 50710, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 46728, h = 4062, f = 50790, action: ('take', <package.Package instance at 0x41e1fc8>)
agent PreviousPosition:F, CurrentPosition:F --> g = 46727, h = 4062, f = 50789, action: ('take', <package.Package instance at 0x41ebfc8>)
agent PreviousPosition:A, CurrentPosition:F --> g = 46726, h = 4062, f = 50788, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:A --> g = 46636, h = 4062, f = 50698, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 46586, h = 4062, f = 50648, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 46536, h = 4062, f = 50598, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:F --> g = 46446, h = 4062, f = 50508, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:B --> g = 46346, h = 4062, f = 50408, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 46296, h = 4062, f = 50358, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 46206, h = 4062, f = 50268, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:B --> g = 46106, h = 4062, f = 50168, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:F --> g = 46006, h = 4062, f = 50068, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:A --> g = 45916, h = 4062, f = 49978, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:B --> g = 45861, h = 4117, f = 49978, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:F --> g = 45751, h = 4161, f = 49912, action: ('take', <package.Package instance at 0x406e758>)
agent PreviousPosition:A, CurrentPosition:F --> g = 45750, h = 4161, f = 49911, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 45660, h = 4161, f = 49821, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 45570, h = 4161, f = 49731, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 45470, h = 4161, f = 49631, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 45420, h = 4161, f = 49581, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 45330, h = 4161, f = 49491, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:A --> g = 45240, h = 4161, f = 49401, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:F --> g = 45150, h = 4161, f = 49311, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 45060, h = 4161, f = 49221, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 44970, h = 4161, f = 49131, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 44870, h = 4161, f = 49031, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 44770, h = 4161, f = 48931, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 44680, h = 4161, f = 48841, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 44630, h = 4161, f = 48791, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 44580, h = 4161, f = 48741, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 44490, h = 4161, f = 48651, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 44410, h = 4161, f = 48571, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 44330, h = 4161, f = 48491, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 44250, h = 4161, f = 48411, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 44170, h = 4161, f = 48331, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:B --> g = 44070, h = 4161, f = 48231, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 44020, h = 4161, f = 48181, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:B --> g = 43970, h = 4161, f = 48131, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:F --> g = 43870, h = 4161, f = 48031, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 43790, h = 4161, f = 47951, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 43702, h = 4249, f = 47951, action: ('take', <package.Package instance at 0x3eca758>)
agent PreviousPosition:A, CurrentPosition:F --> g = 43701, h = 4249, f = 47950, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 43611, h = 4249, f = 47860, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 43521, h = 4249, f = 47770, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 43431, h = 4249, f = 47680, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 43381, h = 4249, f = 47630, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 43331, h = 4249, f = 47580, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:F --> g = 43241, h = 4249, f = 47490, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:A --> g = 43151, h = 4249, f = 47400, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 43061, h = 4249, f = 47310, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 42981, h = 4249, f = 47230, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 42891, h = 4249, f = 47140, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 42801, h = 4249, f = 47050, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:B --> g = 42701, h = 4249, f = 46950, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:F --> g = 42601, h = 4249, f = 46850, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 42521, h = 4249, f = 46770, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 42441, h = 4249, f = 46690, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:E --> g = 42361, h = 4249, f = 46610, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 42261, h = 4249, f = 46510, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 42211, h = 4249, f = 46460, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 42121, h = 4249, f = 46370, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:E --> g = 42041, h = 4249, f = 46290, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 41941, h = 4249, f = 46190, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 41886, h = 4304, f = 46190, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 41787, h = 4359, f = 46146, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 41699, h = 4359, f = 46058, action: ('take', <package.Package instance at 0x3d31758>)
agent PreviousPosition:A, CurrentPosition:F --> g = 41698, h = 4359, f = 46057, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:A --> g = 41608, h = 4359, f = 45967, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:B --> g = 41558, h = 4359, f = 45917, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:F --> g = 41458, h = 4359, f = 45817, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 41378, h = 4359, f = 45737, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 41288, h = 4359, f = 45647, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 41198, h = 4359, f = 45557, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:B --> g = 41098, h = 4359, f = 45457, action: ('moveAndDrop', 'B')
